Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
25/08/2021 07:12:32,Deposit,200.00 USD CreditCard,200.00 ,-,200.00 ,200.00 ,200.00 ,-,-,0.00 
25/08/2021 07:49:34,Open Position,TRIG/GBX,130.00 ,73.904275,0.00 ,200.00 ,70.00 ,1287187305,Stocks,0.00 
30/08/2021 13:30:04,Open Position,INTC/USD,70.00 ,1.288897,0.00 ,200.00 ,0.00 ,1291793597,Stocks,0.00 
02/12/2021 07:11:51,Dividend,INTC/USD,0.31 ,-,0.31 ,200.31 ,0.31 ,1291793597,Stocks,0.00 
31/12/2021 06:10:51,Dividend,TRIG/GBX,1.69 ,-,1.69 ,202.00 ,2.00 ,1287187305,Stocks,0.00 
23/02/2022 15:44:42,Deposit,95.00 USD CreditCard,95.00 ,-,95.00 ,297.00 ,97.00 ,-,-,0.00 
23/02/2022 15:45:57,Open Position,INTC/USD,45.07 ,1.000000,0.00 ,297.00 ,51.93 ,1504055641,Stocks,0.00 
23/02/2022 15:47:02,Open Position,BRK.B/USD,51.00 ,0.163023,0.00 ,297.00 ,0.93 ,1504057327,Stocks,0.00 
01/03/2022 01:46:06,Dividend,INTC/USD,0.33 ,-,0.33 ,297.33 ,1.26 ,1291793597,Stocks,0.00 
22/03/2022 13:48:15,Position closed,INTC/USD,47.57 ,1.000000,2.50 ,299.83 ,48.83 ,1504055641,Stocks,0.00 
22/03/2022 13:49:22,Open Position,KO/USD,48.00 ,0.790254,0.00 ,299.83 ,0.83 ,1531020940,Stocks,0.00 
28/03/2022 17:51:58,Position closed,KO/USD,48.57 ,0.790254,0.57 ,300.40 ,49.40 ,1531020940,Stocks,0.00 
28/03/2022 17:52:22,Open Position,META/USD,49.00 ,0.221019,0.00 ,300.40 ,0.40 ,1535721738,Stocks,0.00 
31/03/2022 01:44:54,Dividend,TRIG/GBX,1.64 ,-,1.64 ,302.04 ,2.04 ,1287187305,Stocks,0.00 
04/04/2022 13:50:27,Position closed,META/USD,51.12 ,0.221019,2.12 ,304.16 ,53.16 ,1535721738,Stocks,0.00 
04/04/2022 13:51:02,Open Position,KO/USD,53.00 ,0.855253,0.00 ,304.16 ,0.16 ,2148098369,Stocks,0.00 
05/04/2022 13:35:05,Position closed,BRK.B/USD,56.42 ,0.163023,5.42 ,309.58 ,56.58 ,1504057327,Stocks,0.00 
05/04/2022 13:35:11,Position closed,TRIG/GBX,138.35 ,73.904275,8.35 ,317.93 ,194.93 ,1287187305,Stocks,0.00 
05/04/2022 13:35:51,Open Position,BRK.B/USD,100.00 ,0.288935,0.00 ,317.93 ,94.93 ,2149084731,CFD,0.00 
05/04/2022 13:36:31,Open Position,AAPL/USD,50.00 ,0.281960,0.00 ,317.93 ,44.93 ,2149086741,Stocks,0.00 
05/04/2022 13:36:41,Position closed,BRK.B/USD,99.57 ,0.288935,(0.43),317.50 ,144.50 ,2149084731,CFD,0.00 
05/04/2022 13:37:03,Open Position,BRK.B/USD,100.00 ,0.287563,0.00 ,317.50 ,44.50 ,2149089371,Stocks,0.00 
05/04/2022 13:39:02,Open Position,META/USD,44.00 ,0.187673,0.00 ,317.50 ,0.50 ,2149124237,Stocks,0.00 
07/04/2022 18:53:49,Position closed,KO/USD,54.32 ,0.855253,1.32 ,318.82 ,54.82 ,2148098369,Stocks,0.00 
07/04/2022 18:54:51,Open Position,BRK.B/USD,25.00 ,0.072111,0.00 ,318.82 ,29.82 ,2155708547,Stocks,0.00 
07/04/2022 18:56:01,Open Position,AAPL/USD,29.00 ,0.168194,0.00 ,318.82 ,0.82 ,2155709084,Stocks,0.00 
12/05/2022 01:25:12,Dividend,AAPL/USD,0.05 ,-,0.05 ,318.87 ,0.87 ,2149086741,Stocks,0.00 
12/05/2022 01:25:12,Dividend,AAPL/USD,0.03 ,-,0.03 ,318.90 ,0.90 ,2155709084,Stocks,0.00 
13/05/2022 12:26:07,Deposit,300.00 USD CreditCard,300.00 ,-,300.00 ,618.90 ,300.90 ,-,-,0.00 
16/05/2022 14:50:33,Open Position,AAPL/USD,50.00 ,0.344899,0.00 ,618.90 ,250.90 ,2187159742,Stocks,0.00 
16/05/2022 14:50:55,Open Position,T/USD,50.00 ,2.523978,0.00 ,618.90 ,200.90 ,2187160069,Stocks,0.00 
16/05/2022 14:51:14,Open Position,BRK.B/USD,30.00 ,0.097460,0.00 ,618.90 ,170.90 ,2187160446,Stocks,0.00 
16/05/2022 14:51:23,Open Position,INTC/USD,30.00 ,0.698324,0.00 ,618.90 ,140.90 ,2187160781,Stocks,0.00 
16/05/2022 14:54:00,Open Position,KO/USD,65.84 ,1.000000,0.00 ,618.90 ,75.06 ,2187166552,Stocks,0.00 
16/05/2022 16:08:41,Open Position,MSFT/USD,20.00 ,0.076867,0.00 ,618.90 ,55.06 ,2187254609,Stocks,0.00 
17/05/2022 17:36:18,Open Position,UPST/USD,30.00 ,0.682128,0.00 ,618.90 ,25.06 ,2188345230,Stocks,0.00 
26/05/2022 14:37:38,Open Position,UPST/USD,25.00 ,0.589762,0.00 ,618.90 ,0.06 ,2197032688,Stocks,0.00 
01/06/2022 01:49:07,Dividend,INTC/USD,0.33 ,-,0.33 ,619.23 ,0.39 ,1291793597,Stocks,0.00 
06/06/2022 13:50:56,Position closed,MSFT/USD,20.88 ,0.076867,0.88 ,620.11 ,21.27 ,2187254609,Stocks,0.00 
06/06/2022 13:51:06,Position closed,UPST/USD,28.72 ,0.589762,3.72 ,623.83 ,49.99 ,2197032688,Stocks,0.00 
