Date,AAPL
2023-09-05,188.73
2023-09-06,181.98
2023-09-07,176.66
2023-09-08,177.27
2023-09-11,178.45
2023-09-12,175.4
2023-09-13,173.32
2023-09-14,174.85
2023-09-15,174.12
2023-09-18,177.06
2023-09-19,178.16
2023-09-20,174.6
2023-09-21,173.04
2023-09-22,173.9
2023-09-25,175.18
2023-09-26,171.08
2023-09-27,169.56
2023-09-28,169.82
2023-09-29,170.34
2023-10-02,172.87
2023-10-03,171.52
2023-10-04,172.78
2023-10-05,174.02
2023-10-06,176.59
2023-10-09,178.08
2023-10-10,177.48
2023-10-11,178.88
2023-10-12,179.79
2023-10-13,177.94
2023-10-16,177.81
2023-10-17,176.25
2023-10-18,174.94
2023-10-19,174.57
2023-10-20,172.0
2023-10-23,172.12
2023-10-24,172.56
2023-10-25,170.23
2023-10-26,166.04
2023-10-27,167.36
2023-10-30,169.42
2023-10-31,169.9
2023-11-01,173.08
2023-11-02,176.67
2023-11-03,175.75
2023-11-06,178.32
2023-11-07,180.89
2023-11-08,181.96
2023-11-09,181.48
2023-11-10,185.7
2023-11-13,184.1
2023-11-14,186.73
2023-11-15,187.3
2023-11-16,188.99
2023-11-17,188.97
2023-11-20,190.73
2023-11-21,189.92
2023-11-22,190.59
2023-11-24,189.25
2023-11-27,189.07
2023-11-28,189.68
2023-11-29,188.65
2023-11-30,189.23
2023-12-01,190.52
2023-12-04,188.71
2023-12-05,192.69
2023-12-06,191.59
2023-12-07,193.54
2023-12-08,194.97
2023-12-11,192.45
2023-12-12,193.97
2023-12-13,197.21
2023-12-14,197.36
2023-12-15,196.82
2023-12-18,195.15
2023-12-19,196.2
2023-12-20,194.09
2023-12-21,193.94
2023-12-22,192.87
2023-12-26,192.32
2023-12-27,192.42
2023-12-28,192.85
2023-12-29,191.8
2024-01-02,184.94
2024-01-03,183.55
2024-01-04,181.22
2024-01-05,180.5
2024-01-08,184.86
2024-01-09,184.44
2024-01-10,185.49
2024-01-11,184.89
2024-01-12,185.22
2024-01-16,182.94
2024-01-17,181.99
2024-01-18,187.92
2024-01-19,190.84
2024-01-22,193.16
2024-01-23,194.44
2024-01-24,193.76
2024-01-25,193.44
2024-01-26,191.69
2024-01-29,191.01
2024-01-30,187.33
2024-01-31,183.7
2024-02-01,186.15
2024-02-02,185.15
2024-02-05,186.97
2024-02-06,188.58
2024-02-07,188.69
2024-02-08,187.61
2024-02-09,188.38
2024-02-12,186.68
2024-02-13,184.58
2024-02-14,183.69
2024-02-15,183.4
2024-02-16,181.85
2024-02-20,181.1
2024-02-21,181.86
2024-02-22,183.91
2024-02-23,182.06
2024-02-26,180.71
2024-02-27,182.17
2024-02-28,180.96
2024-02-29,180.3
2024-03-01,179.21
2024-03-04,174.66
2024-03-05,169.69
2024-03-06,168.7
2024-03-07,168.58
2024-03-08,170.3
2024-03-11,172.32
2024-03-12,172.8
2024-03-13,170.7
2024-03-14,172.57
2024-03-15,172.19
2024-03-18,173.28
2024-03-19,175.64
2024-03-20,178.22
2024-03-21,170.94
2024-03-22,171.85
2024-03-25,170.42
2024-03-26,169.28
2024-03-27,172.88
2024-03-28,171.05
2024-04-01,169.6
2024-04-02,168.42
2024-04-03,169.22
2024-04-04,168.4
2024-04-05,169.15
2024-04-08,168.03
2024-04-09,169.24
2024-04-10,167.36
2024-04-11,174.6
2024-04-12,176.11
2024-04-15,172.26
2024-04-16,168.96
2024-04-17,167.58
2024-04-18,166.62
2024-04-19,164.59
2024-04-22,165.42
2024-04-23,166.48
2024-04-24,168.6
2024-04-25,169.46
2024-04-26,168.88
2024-04-29,173.06
2024-04-30,169.9
2024-05-01,168.88
2024-05-02,172.6
2024-05-03,182.92
2024-05-06,181.25
2024-05-07,181.94
2024-05-08,182.28
2024-05-09,184.11
2024-05-10,182.84
2024-05-13,186.06
2024-05-14,187.21
2024-05-15,189.5
2024-05-16,189.62
2024-05-17,189.65
2024-05-20,190.82
2024-05-21,192.13
2024-05-22,190.68
2024-05-23,186.66
2024-05-24,189.76
2024-05-28,189.77
2024-05-29,190.07
2024-05-30,191.07
2024-05-31,192.03
2024-06-03,193.81
2024-06-04,194.13
2024-06-05,195.64
2024-06-06,194.26
2024-06-07,196.66
2024-06-10,192.9
2024-06-11,206.91
2024-06-12,212.82
2024-06-13,213.99
2024-06-14,212.24
2024-06-17,216.42
2024-06-18,214.04
2024-06-20,209.44
2024-06-21,207.25
2024-06-24,207.9
2024-06-25,208.83
2024-06-26,213.0
2024-06-27,213.85
2024-06-28,210.38
2024-07-01,216.5
2024-07-02,220.02
2024-07-03,221.29
2024-07-05,226.08
2024-07-08,227.56
2024-07-09,228.42
2024-07-10,232.71
2024-07-11,227.31
2024-07-12,230.27
2024-07-15,234.13
2024-07-16,234.55
2024-07-17,228.62
2024-07-18,223.92
2024-07-19,224.05
2024-07-22,223.7
2024-07-23,224.75
2024-07-24,218.29
2024-07-25,217.24
2024-07-26,217.71
2024-07-29,217.99
2024-07-30,218.55
2024-07-31,221.82
2024-08-01,218.11
2024-08-02,219.61
2024-08-05,209.03
2024-08-06,206.99
2024-08-07,209.58
2024-08-08,213.06
2024-08-09,215.99
2024-08-12,217.53
2024-08-13,221.27
2024-08-14,221.72
2024-08-15,224.72
2024-08-16,226.05
2024-08-19,225.89
2024-08-20,226.51
2024-08-21,226.4
2024-08-22,224.53
2024-08-23,226.84
2024-08-26,227.18
2024-08-27,228.03
2024-08-28,226.49
2024-08-29,229.79
2024-08-30,229.0
2024-09-03,222.77
