Date,BTI
2023-09-05,29.63
2023-09-06,29.41
2023-09-07,29.41
2023-09-08,29.62
2023-09-11,30.17
2023-09-12,30.47
2023-09-13,30.47
2023-09-14,30.84
2023-09-15,30.42
2023-09-18,30.61
2023-09-19,30.66
2023-09-20,30.76
2023-09-21,30.48
2023-09-22,30.3
2023-09-25,29.26
2023-09-26,29.16
2023-09-27,28.98
2023-09-28,29.2
2023-09-29,29.23
2023-10-02,28.56
2023-10-03,28.09
2023-10-04,27.98
2023-10-05,28.39
2023-10-06,28.38
2023-10-09,28.6
2023-10-10,28.87
2023-10-11,29.1
2023-10-12,27.99
2023-10-13,27.71
2023-10-16,28.32
2023-10-17,28.37
2023-10-18,28.19
2023-10-19,27.93
2023-10-20,27.75
2023-10-23,27.73
2023-10-24,27.66
2023-10-25,27.78
2023-10-26,27.57
2023-10-27,26.95
2023-10-30,27.76
2023-10-31,27.78
2023-11-01,27.98
2023-11-02,28.57
2023-11-03,28.93
2023-11-06,28.87
2023-11-07,28.83
2023-11-08,28.83
2023-11-09,28.7
2023-11-10,28.38
2023-11-13,28.95
2023-11-14,29.24
2023-11-15,29.19
2023-11-16,29.02
2023-11-17,29.27
2023-11-20,29.5
2023-11-21,29.59
2023-11-22,29.82
2023-11-24,30.08
2023-11-27,30.07
2023-11-28,30.16
2023-11-29,29.66
2023-11-30,29.67
2023-12-01,29.81
2023-12-04,29.71
2023-12-05,29.35
2023-12-06,26.85
2023-12-07,27.34
2023-12-08,27.1
2023-12-11,26.92
2023-12-12,26.94
2023-12-13,27.56
2023-12-14,27.89
2023-12-15,27.35
2023-12-18,27.53
2023-12-19,27.81
2023-12-20,27.44
2023-12-21,27.72
2023-12-22,27.78
2023-12-26,27.81
2023-12-27,27.95
2023-12-28,27.86
2023-12-29,27.92
2024-01-02,28.4
2024-01-03,28.49
2024-01-04,28.72
2024-01-05,28.86
2024-01-08,29.14
2024-01-09,28.89
2024-01-10,28.6
2024-01-11,28.88
2024-01-12,28.73
2024-01-16,28.35
2024-01-17,28.16
2024-01-18,27.98
2024-01-19,28.1
2024-01-22,28.26
2024-01-23,27.99
2024-01-24,28.04
2024-01-25,28.06
2024-01-26,28.27
2024-01-29,28.58
2024-01-30,28.63
2024-01-31,28.21
2024-02-01,28.79
2024-02-02,28.61
2024-02-05,28.32
2024-02-06,28.36
2024-02-07,28.03
2024-02-08,29.98
2024-02-09,29.31
2024-02-12,29.48
2024-02-13,29.03
2024-02-14,28.89
2024-02-15,29.13
2024-02-16,29.07
2024-02-20,28.88
2024-02-21,28.83
2024-02-22,29.04
2024-02-23,29.07
2024-02-26,28.8
2024-02-27,28.71
2024-02-28,28.34
2024-02-29,28.49
2024-03-01,28.38
2024-03-04,27.98
2024-03-05,28.04
2024-03-06,28.16
2024-03-07,28.14
2024-03-08,28.25
2024-03-11,28.63
2024-03-12,29.07
2024-03-13,29.41
2024-03-14,29.04
2024-03-15,28.88
2024-03-18,29.61
2024-03-19,29.63
2024-03-20,29.53
2024-03-21,29.44
2024-03-22,29.29
2024-03-25,29.34
2024-03-26,29.18
2024-03-27,29.63
2024-03-28,29.78
2024-04-01,29.64
2024-04-02,29.61
2024-04-03,29.39
2024-04-04,28.97
2024-04-05,28.9
2024-04-08,29.0
2024-04-09,29.15
2024-04-10,28.47
2024-04-11,28.42
2024-04-12,27.95
2024-04-15,27.84
2024-04-16,27.71
2024-04-17,27.92
2024-04-18,28.14
2024-04-19,28.37
2024-04-22,28.72
2024-04-23,28.87
2024-04-24,28.8
2024-04-25,28.71
2024-04-26,28.56
2024-04-29,28.84
2024-04-30,28.73
2024-05-01,28.73
2024-05-02,29.1
2024-05-03,29.11
2024-05-06,29.25
2024-05-07,29.27
2024-05-08,29.45
2024-05-09,29.65
2024-05-10,29.95
2024-05-13,30.19
2024-05-14,30.36
2024-05-15,30.58
2024-05-16,30.81
2024-05-17,30.85
2024-05-20,30.61
2024-05-21,30.73
2024-05-22,30.62
2024-05-23,30.01
2024-05-24,29.9
2024-05-28,29.83
2024-05-29,29.32
2024-05-30,29.98
2024-05-31,30.3
2024-06-03,30.6
2024-06-04,30.47
2024-06-05,30.44
2024-06-06,30.52
2024-06-07,30.26
2024-06-10,29.99
2024-06-11,29.78
2024-06-12,29.95
2024-06-13,29.88
2024-06-14,29.91
2024-06-17,30.21
2024-06-18,30.39
2024-06-20,30.76
2024-06-21,30.96
2024-06-24,31.6
2024-06-25,31.38
2024-06-26,31.1
2024-06-27,30.9
2024-06-28,30.93
2024-07-01,31.08
2024-07-02,31.07
2024-07-03,31.41
2024-07-05,31.69
2024-07-08,31.57
2024-07-09,31.77
2024-07-10,32.06
2024-07-11,32.23
2024-07-12,32.61
2024-07-15,32.2
2024-07-16,32.14
2024-07-17,32.7
2024-07-18,33.04
2024-07-19,33.2
2024-07-22,33.52
2024-07-23,33.35
2024-07-24,33.38
2024-07-25,34.73
2024-07-26,35.16
2024-07-29,35.52
2024-07-30,35.79
2024-07-31,35.64
2024-08-01,35.9
2024-08-02,36.45
2024-08-05,35.0
2024-08-06,34.92
2024-08-07,35.45
2024-08-08,35.9
2024-08-09,35.96
2024-08-12,35.87
2024-08-13,36.16
2024-08-14,36.18
2024-08-15,36.0
2024-08-16,36.06
2024-08-19,36.13
2024-08-20,36.14
2024-08-21,36.3
2024-08-22,36.25
2024-08-23,36.68
2024-08-26,36.76
2024-08-27,37.12
2024-08-28,37.17
2024-08-29,37.34
2024-08-30,37.57
2024-09-03,38.0
