Date,C
2023-09-05,39.71
2023-09-06,39.72
2023-09-07,39.11
2023-09-08,38.97
2023-09-11,38.97
2023-09-12,40.02
2023-09-13,40.68
2023-09-14,41.42
2023-09-15,41.01
2023-09-18,40.94
2023-09-19,40.98
2023-09-20,40.62
2023-09-21,40.05
2023-09-22,39.29
2023-09-25,39.39
2023-09-26,38.62
2023-09-27,38.85
2023-09-28,39.56
2023-09-29,39.49
2023-10-02,38.89
2023-10-03,38.27
2023-10-04,38.23
2023-10-05,38.29
2023-10-06,38.95
2023-10-09,39.12
2023-10-10,39.79
2023-10-11,39.88
2023-10-12,39.88
2023-10-13,39.78
2023-10-16,39.32
2023-10-17,39.56
2023-10-18,38.86
2023-10-19,38.47
2023-10-20,38.1
2023-10-23,37.34
2023-10-24,37.38
2023-10-25,37.07
2023-10-26,37.77
2023-10-27,36.72
2023-10-30,37.38
2023-10-31,37.92
2023-11-01,38.02
2023-11-02,39.7
2023-11-03,41.1
2023-11-06,40.89
2023-11-07,40.81
2023-11-08,40.68
2023-11-09,40.37
2023-11-10,40.93
2023-11-13,41.53
2023-11-14,43.15
2023-11-15,43.65
2023-11-16,43.45
2023-11-17,44.12
2023-11-20,44.02
2023-11-21,43.86
2023-11-22,43.79
2023-11-24,43.99
2023-11-27,43.85
2023-11-28,43.63
2023-11-29,44.5
2023-11-30,44.84
2023-12-01,45.94
2023-12-04,46.07
2023-12-05,45.42
2023-12-06,46.55
2023-12-07,47.17
2023-12-08,47.55
2023-12-11,46.83
2023-12-12,46.75
2023-12-13,47.99
2023-12-14,48.87
2023-12-15,48.47
2023-12-18,48.3
2023-12-19,49.54
2023-12-20,48.7
2023-12-21,49.22
2023-12-22,49.47
2023-12-26,49.94
2023-12-27,50.05
2023-12-28,50.11
2023-12-29,50.03
2024-01-02,51.59
2024-01-03,52.17
2024-01-04,52.3
2024-01-05,52.84
2024-01-08,52.53
2024-01-09,52.02
2024-01-10,51.57
2024-01-11,50.66
2024-01-12,51.18
2024-01-16,50.45
2024-01-17,49.96
2024-01-18,49.71
2024-01-19,50.11
2024-01-22,51.4
2024-01-23,51.84
2024-01-24,51.8
2024-01-25,52.26
2024-01-26,52.2
2024-01-29,52.63
2024-01-30,55.53
2024-01-31,54.63
2024-02-01,54.53
2024-02-02,54.54
2024-02-05,53.52
2024-02-06,53.37
2024-02-07,53.55
2024-02-08,53.31
2024-02-09,53.01
2024-02-12,52.95
2024-02-13,51.81
2024-02-14,53.01
2024-02-15,54.21
2024-02-16,53.86
2024-02-20,54.42
2024-02-21,54.33
2024-02-22,54.89
2024-02-23,54.92
2024-02-26,54.36
2024-02-27,54.7
2024-02-28,54.06
2024-02-29,54.49
2024-03-01,54.6
2024-03-04,55.13
2024-03-05,55.24
2024-03-06,56.26
2024-03-07,56.68
2024-03-08,56.47
2024-03-11,56.37
2024-03-12,56.41
2024-03-13,56.72
2024-03-14,56.06
2024-03-15,56.57
2024-03-18,57.57
2024-03-19,57.8
2024-03-20,59.04
2024-03-21,60.22
2024-03-22,59.72
2024-03-25,59.85
2024-03-26,60.55
2024-03-27,61.62
2024-03-28,62.1
2024-04-01,62.31
2024-04-02,61.71
2024-04-03,60.58
2024-04-04,59.81
2024-04-05,60.49
2024-04-08,60.62
2024-04-09,60.55
2024-04-10,59.09
2024-04-11,59.61
2024-04-12,58.6
2024-04-15,57.5
2024-04-16,55.99
2024-04-17,57.12
2024-04-18,57.27
2024-04-19,58.07
2024-04-22,59.85
2024-04-23,61.54
2024-04-24,61.34
2024-04-25,60.67
2024-04-26,61.53
2024-04-29,61.14
2024-04-30,60.22
2024-05-01,60.24
2024-05-02,60.43
2024-05-03,60.93
2024-05-06,62.21
2024-05-07,61.41
2024-05-08,62.15
2024-05-09,62.72
2024-05-10,62.92
2024-05-13,62.8
2024-05-14,62.98
2024-05-15,63.63
2024-05-16,63.53
2024-05-17,63.46
2024-05-20,62.56
2024-05-21,64.12
2024-05-22,63.21
2024-05-23,62.42
2024-05-24,62.97
2024-05-28,61.85
2024-05-29,61.42
2024-05-30,61.34
2024-05-31,61.72
2024-06-03,61.33
2024-06-04,60.45
2024-06-05,61.18
2024-06-06,61.35
2024-06-07,61.19
2024-06-10,60.84
2024-06-11,58.58
2024-06-12,59.44
2024-06-13,59.66
2024-06-14,58.76
2024-06-17,59.49
2024-06-18,60.2
2024-06-20,60.04
2024-06-21,59.42
2024-06-24,60.76
2024-06-25,60.99
2024-06-26,60.67
2024-06-27,60.96
2024-06-28,62.86
2024-07-01,62.83
2024-07-02,64.06
2024-07-03,63.85
2024-07-05,63.42
2024-07-08,64.12
2024-07-09,65.92
2024-07-10,66.34
2024-07-11,65.08
2024-07-12,63.91
2024-07-15,64.52
2024-07-16,66.63
2024-07-17,66.97
2024-07-18,64.27
2024-07-19,64.52
2024-07-22,63.89
2024-07-23,64.04
2024-07-24,63.05
2024-07-25,63.76
2024-07-26,64.56
2024-07-29,63.69
2024-07-30,65.24
2024-07-31,64.26
2024-08-01,62.68
2024-08-02,58.2
2024-08-05,56.21
2024-08-06,56.56
2024-08-07,56.11
2024-08-08,58.0
2024-08-09,57.84
2024-08-12,57.84
2024-08-13,58.15
2024-08-14,59.28
2024-08-15,60.52
2024-08-16,61.4
2024-08-19,62.03
2024-08-20,61.31
2024-08-21,60.53
2024-08-22,60.42
2024-08-23,62.14
2024-08-26,61.79
2024-08-27,61.68
2024-08-28,61.58
2024-08-29,61.88
2024-08-30,62.64
2024-09-03,61.46
