Date,CMG
2023-09-05,39.03
2023-09-06,39.08
2023-09-07,39.34
2023-09-08,38.9
2023-09-11,38.98
2023-09-12,38.66
2023-09-13,38.66
2023-09-14,38.72
2023-09-15,38.25
2023-09-18,38.77
2023-09-19,38.49
2023-09-20,38.41
2023-09-21,37.32
2023-09-22,37.51
2023-09-25,37.19
2023-09-26,36.95
2023-09-27,36.12
2023-09-28,36.77
2023-09-29,36.64
2023-10-02,37.34
2023-10-03,36.74
2023-10-04,37.16
2023-10-05,37.23
2023-10-06,36.45
2023-10-09,36.66
2023-10-10,36.64
2023-10-11,36.47
2023-10-12,35.87
2023-10-13,35.63
2023-10-16,36.21
2023-10-17,36.59
2023-10-18,36.81
2023-10-19,36.95
2023-10-20,36.62
2023-10-23,36.39
2023-10-24,37.1
2023-10-25,36.84
2023-10-26,36.13
2023-10-27,37.75
2023-10-30,38.19
2023-10-31,38.84
2023-11-01,39.73
2023-11-02,40.71
2023-11-03,40.81
2023-11-06,41.38
2023-11-07,41.3
2023-11-08,41.68
2023-11-09,41.9
2023-11-10,42.41
2023-11-13,43.01
2023-11-14,43.32
2023-11-15,43.12
2023-11-16,43.46
2023-11-17,43.24
2023-11-20,43.73
2023-11-21,43.95
2023-11-22,44.38
2023-11-24,44.39
2023-11-27,44.18
2023-11-28,44.13
2023-11-29,43.78
2023-11-30,44.04
2023-12-01,44.68
2023-12-04,44.38
2023-12-05,44.53
2023-12-06,44.2
2023-12-07,44.53
2023-12-08,44.86
2023-12-11,45.91
2023-12-12,46.41
2023-12-13,46.8
2023-12-14,45.51
2023-12-15,45.43
2023-12-18,45.94
2023-12-19,46.54
2023-12-20,46.28
2023-12-21,46.14
2023-12-22,46.09
2023-12-26,46.39
2023-12-27,46.15
2023-12-28,45.57
2023-12-29,45.74
2024-01-02,44.9
2024-01-03,44.67
2024-01-04,44.41
2024-01-05,44.26
2024-01-08,44.73
2024-01-09,44.64
2024-01-10,44.9
2024-01-11,45.53
2024-01-12,45.44
2024-01-16,45.8
2024-01-17,46.21
2024-01-18,46.46
2024-01-19,46.69
2024-01-22,46.5
2024-01-23,46.44
2024-01-24,46.7
2024-01-25,46.24
2024-01-26,46.53
2024-01-29,48.09
2024-01-30,48.39
2024-01-31,48.18
2024-02-01,48.84
2024-02-02,49.65
2024-02-05,49.42
2024-02-06,49.75
2024-02-07,53.34
2024-02-08,52.41
2024-02-09,52.77
2024-02-12,52.16
2024-02-13,51.98
2024-02-14,52.4
2024-02-15,52.36
2024-02-16,51.97
2024-02-20,51.6
2024-02-21,51.39
2024-02-22,52.55
2024-02-23,52.93
2024-02-26,53.21
2024-02-27,52.9
2024-02-28,53.43
2024-02-29,53.78
2024-03-01,53.78
2024-03-04,54.41
2024-03-05,54.23
2024-03-06,53.8
2024-03-07,53.8
2024-03-08,53.72
2024-03-11,53.25
2024-03-12,54.4
2024-03-13,54.45
2024-03-14,54.97
2024-03-15,55.13
2024-03-18,55.47
2024-03-19,55.95
2024-03-20,57.9
2024-03-21,58.1
2024-03-22,57.64
2024-03-25,58.07
2024-03-26,59.11
2024-03-27,58.47
2024-03-28,58.14
2024-04-01,57.54
2024-04-02,58.04
2024-04-03,57.91
2024-04-04,57.12
2024-04-05,58.11
2024-04-08,58.63
2024-04-09,58.54
2024-04-10,59.31
2024-04-11,59.81
2024-04-12,59.15
2024-04-15,58.73
2024-04-16,58.85
2024-04-17,58.06
2024-04-18,58.16
2024-04-19,57.38
2024-04-22,57.69
2024-04-23,58.3
2024-04-24,58.54
2024-04-25,62.24
2024-04-26,63.74
2024-04-29,64.19
2024-04-30,63.19
2024-05-01,62.77
2024-05-02,62.84
2024-05-03,63.11
2024-05-06,63.98
2024-05-07,63.87
2024-05-08,63.67
2024-05-09,64.66
2024-05-10,64.78
2024-05-13,63.91
2024-05-14,63.53
2024-05-15,63.37
2024-05-16,62.92
2024-05-17,64.27
2024-05-20,63.53
2024-05-21,63.46
2024-05-22,63.07
2024-05-23,62.77
2024-05-24,63.03
2024-05-28,63.08
2024-05-29,61.46
2024-05-30,62.12
2024-05-31,62.59
2024-06-03,61.53
2024-06-04,61.58
2024-06-05,62.96
2024-06-06,64.23
2024-06-07,63.38
2024-06-10,62.6
2024-06-11,62.6
2024-06-12,63.42
2024-06-13,65.31
2024-06-14,65.43
2024-06-17,67.31
2024-06-18,68.55
2024-06-20,64.29
2024-06-21,64.21
2024-06-24,63.87
2024-06-25,65.66
2024-06-26,65.86
2024-06-27,62.41
2024-06-28,62.65
2024-07-01,61.81
2024-07-02,61.4
2024-07-03,61.58
2024-07-05,62.75
2024-07-08,59.51
2024-07-09,57.48
2024-07-10,58.3
2024-07-11,57.55
2024-07-12,57.67
2024-07-15,56.61
2024-07-16,57.74
2024-07-17,55.29
2024-07-18,53.38
2024-07-19,53.54
2024-07-22,53.56
2024-07-23,52.55
2024-07-24,51.78
2024-07-25,50.82
2024-07-26,49.83
2024-07-29,50.97
2024-07-30,52.57
2024-07-31,54.32
2024-08-01,53.46
2024-08-02,52.57
2024-08-05,52.18
2024-08-06,54.08
2024-08-07,53.63
2024-08-08,54.32
2024-08-09,55.55
2024-08-12,55.87
2024-08-13,51.68
2024-08-14,51.65
2024-08-15,53.97
2024-08-16,52.47
2024-08-19,52.64
2024-08-20,51.94
2024-08-21,53.73
2024-08-22,53.45
2024-08-23,53.71
2024-08-26,54.75
2024-08-27,56.14
2024-08-28,55.77
2024-08-29,55.63
2024-08-30,56.08
2024-09-03,53.52
