Date,CVX
2023-09-05,159.54
2023-09-06,159.7
2023-09-07,159.71
2023-09-08,160.26
2023-09-11,156.95
2023-09-12,159.88
2023-09-13,159.29
2023-09-14,160.28
2023-09-15,159.58
2023-09-18,160.27
2023-09-19,160.25
2023-09-20,159.76
2023-09-21,158.32
2023-09-22,159.37
2023-09-25,161.7
2023-09-26,160.82
2023-09-27,163.93
2023-09-28,163.5
2023-09-29,161.61
2023-10-02,159.62
2023-10-03,159.99
2023-10-04,156.26
2023-10-05,157.09
2023-10-06,155.49
2023-10-09,159.79
2023-10-10,159.62
2023-10-11,154.4
2023-10-12,154.53
2023-10-13,157.24
2023-10-16,158.52
2023-10-17,160.62
2023-10-18,161.9
2023-10-19,162.07
2023-10-20,159.9
2023-10-23,154.0
2023-10-24,150.14
2023-10-25,149.39
2023-10-26,148.32
2023-10-27,138.35
2023-10-30,140.02
2023-10-31,139.67
2023-11-01,137.99
2023-11-02,142.58
2023-11-03,141.47
2023-11-06,140.89
2023-11-07,138.41
2023-11-08,136.48
2023-11-09,136.04
2023-11-10,137.01
2023-11-13,138.01
2023-11-14,139.02
2023-11-15,139.51
2023-11-16,137.3
2023-11-17,139.91
2023-11-20,139.83
2023-11-21,139.5
2023-11-22,139.78
2023-11-24,140.33
2023-11-27,139.81
2023-11-28,140.92
2023-11-29,139.37
2023-11-30,139.07
2023-12-01,140.25
2023-12-04,140.3
2023-12-05,138.36
2023-12-06,138.04
2023-12-07,137.93
2023-12-08,139.76
2023-12-11,139.8
2023-12-12,138.01
2023-12-13,140.05
2023-12-14,145.2
2023-12-15,144.64
2023-12-18,144.96
2023-12-19,146.86
2023-12-20,145.51
2023-12-21,145.96
2023-12-22,146.29
2023-12-26,147.61
2023-12-27,147.12
2023-12-28,145.05
2023-12-29,144.46
2024-01-02,144.77
2024-01-03,147.53
2024-01-04,145.91
2024-01-05,145.66
2024-01-08,144.79
2024-01-09,141.11
2024-01-10,139.95
2024-01-11,140.7
2024-01-12,142.63
2024-01-16,139.16
2024-01-17,138.61
2024-01-18,137.35
2024-01-19,137.76
2024-01-22,138.0
2024-01-23,137.61
2024-01-24,140.35
2024-01-25,143.89
2024-01-26,144.44
2024-01-29,144.38
2024-01-30,145.39
2024-01-31,142.78
2024-02-01,143.23
2024-02-02,147.44
2024-02-05,147.53
2024-02-06,147.55
2024-02-07,147.33
2024-02-08,149.2
2024-02-09,146.28
2024-02-12,147.29
2024-02-13,145.85
2024-02-14,146.25
2024-02-15,151.22
2024-02-16,151.39
2024-02-20,150.77
2024-02-21,152.18
2024-02-22,152.17
2024-02-23,151.42
2024-02-26,151.21
2024-02-27,148.97
2024-02-28,149.15
2024-02-29,148.82
2024-03-01,149.61
2024-03-04,145.76
2024-03-05,146.46
2024-03-06,145.22
2024-03-07,146.24
2024-03-08,146.74
2024-03-11,148.81
2024-03-12,148.71
2024-03-13,150.67
2024-03-14,152.44
2024-03-15,152.29
2024-03-18,152.15
2024-03-19,153.34
2024-03-20,151.31
2024-03-21,151.62
2024-03-22,151.42
2024-03-25,153.19
2024-03-26,152.02
2024-03-27,153.07
2024-03-28,154.43
2024-04-01,155.75
2024-04-02,156.43
2024-04-03,157.08
2024-04-04,157.32
2024-04-05,158.21
2024-04-08,157.89
2024-04-09,158.61
2024-04-10,159.26
2024-04-11,158.5
2024-04-12,155.63
2024-04-15,154.29
2024-04-16,153.01
2024-04-17,153.12
2024-04-18,154.27
2024-04-19,156.65
2024-04-22,158.53
2024-04-23,159.44
2024-04-24,160.14
2024-04-25,161.82
2024-04-26,162.41
2024-04-29,162.84
2024-04-30,157.89
2024-05-01,156.29
2024-05-02,157.36
2024-05-03,156.89
2024-05-06,158.9
2024-05-07,159.26
2024-05-08,159.13
2024-05-09,161.98
2024-05-10,162.35
2024-05-13,161.08
2024-05-14,160.18
2024-05-15,159.63
2024-05-16,159.31
2024-05-17,160.87
2024-05-20,159.36
2024-05-21,158.2
2024-05-22,155.83
2024-05-23,155.2
2024-05-24,156.0
2024-05-28,157.28
2024-05-29,155.16
2024-05-30,156.51
2024-05-31,160.5
2024-06-03,155.72
2024-06-04,154.4
2024-06-05,153.26
2024-06-06,154.2
2024-06-07,154.35
2024-06-10,155.01
2024-06-11,154.76
2024-06-12,152.51
2024-06-13,151.15
2024-06-14,150.88
2024-06-17,151.49
2024-06-18,151.63
2024-06-20,154.91
2024-06-21,153.56
2024-06-24,157.55
2024-06-25,156.71
2024-06-26,154.22
2024-06-27,154.59
2024-06-28,154.69
2024-07-01,154.79
2024-07-02,155.02
2024-07-03,154.98
2024-07-05,152.6
2024-07-08,152.62
2024-07-09,151.29
2024-07-10,153.41
2024-07-11,153.54
2024-07-12,153.87
2024-07-15,156.29
2024-07-16,156.02
2024-07-17,159.45
2024-07-18,160.18
2024-07-19,157.39
2024-07-22,155.25
2024-07-23,152.38
2024-07-24,153.35
2024-07-25,155.8
2024-07-26,156.09
2024-07-29,154.87
2024-07-30,157.8
2024-07-31,158.69
2024-08-01,150.93
2024-08-02,146.91
2024-08-05,143.06
2024-08-06,141.64
2024-08-07,140.83
2024-08-08,142.89
2024-08-09,143.39
2024-08-12,143.41
2024-08-13,142.55
2024-08-14,143.07
2024-08-15,145.18
2024-08-16,145.64
2024-08-19,146.83
2024-08-20,144.69
2024-08-21,145.32
2024-08-22,145.73
2024-08-23,147.62
2024-08-26,148.5
2024-08-27,146.95
2024-08-28,146.0
2024-08-29,147.42
2024-08-30,147.95
2024-09-03,144.66
