Date,GE
2023-09-05,89.65
2023-09-06,89.5
2023-09-07,88.79
2023-09-08,88.73
2023-09-11,90.75
2023-09-12,91.34
2023-09-13,90.23
2023-09-14,91.86
2023-09-15,91.73
2023-09-18,92.59
2023-09-19,92.3
2023-09-20,91.22
2023-09-21,89.74
2023-09-22,88.36
2023-09-25,88.8
2023-09-26,87.37
2023-09-27,88.14
2023-09-28,89.29
2023-09-29,87.87
2023-10-02,86.47
2023-10-03,85.65
2023-10-04,86.52
2023-10-05,86.41
2023-10-06,88.6
2023-10-09,87.64
2023-10-10,88.61
2023-10-11,90.02
2023-10-12,88.49
2023-10-13,86.94
2023-10-16,86.75
2023-10-17,87.45
2023-10-18,85.5
2023-10-19,85.01
2023-10-20,84.31
2023-10-23,84.8
2023-10-24,90.31
2023-10-25,88.38
2023-10-26,86.48
2023-10-27,84.53
2023-10-30,87.28
2023-10-31,86.34
2023-11-01,85.24
2023-11-02,85.67
2023-11-03,86.57
2023-11-06,88.85
2023-11-07,88.86
2023-11-08,90.49
2023-11-09,89.89
2023-11-10,91.62
2023-11-13,91.82
2023-11-14,93.19
2023-11-15,92.44
2023-11-16,94.54
2023-11-17,95.32
2023-11-20,95.43
2023-11-21,95.29
2023-11-22,95.06
2023-11-24,95.35
2023-11-27,95.35
2023-11-28,94.46
2023-11-29,94.47
2023-11-30,96.81
2023-12-01,97.37
2023-12-04,96.59
2023-12-05,95.56
2023-12-06,95.23
2023-12-07,94.97
2023-12-08,95.85
2023-12-11,95.6
2023-12-12,97.22
2023-12-13,96.32
2023-12-14,96.45
2023-12-15,97.95
2023-12-18,98.27
2023-12-19,100.1
2023-12-20,98.06
2023-12-21,100.92
2023-12-22,100.7
2023-12-26,101.32
2023-12-27,101.96
2023-12-28,102.06
2023-12-29,101.51
2024-01-02,100.17
2024-01-03,98.67
2024-01-04,99.14
2024-01-05,100.44
2024-01-08,102.02
2024-01-09,102.42
2024-01-10,103.15
2024-01-11,103.26
2024-01-12,103.22
2024-01-16,101.78
2024-01-17,100.91
2024-01-18,102.24
2024-01-19,103.24
2024-01-22,104.37
2024-01-23,103.35
2024-01-24,103.34
2024-01-25,103.34
2024-01-26,104.34
2024-01-29,104.27
2024-01-30,106.52
2024-01-31,105.32
2024-02-01,107.69
2024-02-02,108.59
2024-02-05,109.52
2024-02-06,109.42
2024-02-07,110.15
2024-02-08,110.59
2024-02-09,110.77
2024-02-12,111.48
2024-02-13,112.75
2024-02-14,116.51
2024-02-15,118.0
2024-02-16,118.63
2024-02-20,118.2
2024-02-21,118.56
2024-02-22,120.63
2024-02-23,121.95
2024-02-26,123.09
2024-02-27,122.47
2024-02-28,123.76
2024-02-29,124.78
2024-03-01,126.18
2024-03-04,128.05
2024-03-05,125.55
2024-03-06,126.85
2024-03-07,132.42
2024-03-08,133.58
2024-03-11,132.47
2024-03-12,133.18
2024-03-13,135.33
2024-03-14,132.62
2024-03-15,134.32
2024-03-18,135.13
2024-03-19,137.96
2024-03-20,138.33
2024-03-21,140.49
2024-03-22,139.3
2024-03-25,137.98
2024-03-26,138.03
2024-03-27,143.25
2024-03-28,139.6
2024-04-01,139.47
2024-04-02,136.0
2024-04-03,145.12
2024-04-04,146.88
2024-04-05,155.76
2024-04-08,155.98
2024-04-09,153.96
2024-04-10,156.07
2024-04-11,157.13
2024-04-12,154.37
2024-04-15,153.44
2024-04-16,156.5
2024-04-17,155.41
2024-04-18,152.68
2024-04-19,147.81
2024-04-22,149.94
2024-04-23,162.35
2024-04-24,158.92
2024-04-25,160.99
2024-04-26,162.08
2024-04-29,164.21
2024-04-30,161.55
2024-05-01,159.43
2024-05-02,162.37
2024-05-03,163.83
2024-05-06,167.69
2024-05-07,168.49
2024-05-08,168.57
2024-05-09,167.22
2024-05-10,163.1
2024-05-13,159.23
2024-05-14,159.73
2024-05-15,163.19
2024-05-16,160.85
2024-05-17,159.62
2024-05-20,159.01
2024-05-21,160.73
2024-05-22,160.54
2024-05-23,164.98
2024-05-24,167.05
2024-05-28,168.28
2024-05-29,163.32
2024-05-30,163.92
2024-05-31,164.86
2024-06-03,161.19
2024-06-04,161.11
2024-06-05,162.28
2024-06-06,160.35
2024-06-07,161.65
2024-06-10,162.56
2024-06-11,160.09
2024-06-12,160.78
2024-06-13,155.43
2024-06-14,155.62
2024-06-17,162.95
2024-06-18,164.69
2024-06-20,164.72
2024-06-21,163.96
2024-06-24,160.27
2024-06-25,159.46
2024-06-26,160.37
2024-06-27,160.23
2024-06-28,158.7
2024-07-01,158.7
2024-07-02,161.18
2024-07-03,162.72
2024-07-05,160.23
2024-07-08,163.25
2024-07-09,162.85
2024-07-10,165.42
2024-07-11,161.92
2024-07-12,159.01
2024-07-15,159.56
2024-07-16,162.85
2024-07-17,156.66
2024-07-18,158.79
2024-07-19,159.13
2024-07-22,162.76
2024-07-23,172.0
2024-07-24,162.3
2024-07-25,164.67
2024-07-26,169.81
2024-07-29,169.87
2024-07-30,167.48
2024-07-31,170.2
2024-08-01,169.75
2024-08-02,160.28
2024-08-05,158.36
2024-08-06,162.27
2024-08-07,162.13
2024-08-08,165.61
2024-08-09,167.13
2024-08-12,166.87
2024-08-13,167.96
2024-08-14,167.95
2024-08-15,169.94
2024-08-16,169.42
2024-08-19,170.93
2024-08-20,169.99
2024-08-21,171.2
2024-08-22,169.68
2024-08-23,171.22
2024-08-26,171.22
2024-08-27,170.99
2024-08-28,171.87
2024-08-29,173.58
2024-08-30,174.62
2024-09-03,164.21
