Date,GS
2023-09-05,315.07
2023-09-06,312.52
2023-09-07,313.33
2023-09-08,316.79
2023-09-11,315.95
2023-09-12,322.03
2023-09-13,326.0
2023-09-14,335.33
2023-09-15,333.36
2023-09-18,334.12
2023-09-19,332.73
2023-09-20,327.67
2023-09-21,321.39
2023-09-22,319.1
2023-09-25,320.03
2023-09-26,315.14
2023-09-27,313.32
2023-09-28,316.48
2023-09-29,314.9
2023-10-02,309.96
2023-10-03,297.91
2023-10-04,300.33
2023-10-05,302.18
2023-10-06,304.1
2023-10-09,304.23
2023-10-10,306.33
2023-10-11,304.63
2023-10-12,301.54
2023-10-13,301.01
2023-10-16,305.96
2023-10-17,301.07
2023-10-18,293.87
2023-10-19,291.17
2023-10-20,292.01
2023-10-23,291.2
2023-10-24,291.16
2023-10-25,288.81
2023-10-26,289.03
2023-10-27,282.14
2023-10-30,292.77
2023-10-31,295.47
2023-11-01,298.93
2023-11-02,305.35
2023-11-03,318.84
2023-11-06,315.23
2023-11-07,315.27
2023-11-08,315.86
2023-11-09,312.18
2023-11-10,316.78
2023-11-13,318.15
2023-11-14,329.64
2023-11-15,328.55
2023-11-16,327.65
2023-11-17,330.1
2023-11-20,330.35
2023-11-21,325.99
2023-11-22,329.56
2023-11-24,330.06
2023-11-27,328.66
2023-11-28,328.6
2023-11-29,333.86
2023-11-30,335.11
2023-12-01,341.87
2023-12-04,342.82
2023-12-05,335.32
2023-12-06,335.54
2023-12-07,338.14
2023-12-08,344.23
2023-12-11,345.14
2023-12-12,345.98
2023-12-13,355.91
2023-12-14,376.26
2023-12-15,373.35
2023-12-18,369.32
2023-12-19,375.25
2023-12-20,370.42
2023-12-21,373.41
2023-12-22,373.49
2023-12-26,374.43
2023-12-27,377.25
2023-12-28,379.14
2023-12-29,378.51
2024-01-02,380.99
2024-01-03,374.61
2024-01-04,375.75
2024-01-05,379.17
2024-01-08,381.54
2024-01-09,376.52
2024-01-10,374.77
2024-01-11,372.61
2024-01-12,370.64
2024-01-16,373.29
2024-01-17,370.08
2024-01-18,369.82
2024-01-19,375.01
2024-01-22,378.7
2024-01-23,373.61
2024-01-24,372.26
2024-01-25,375.5
2024-01-26,370.68
2024-01-29,373.4
2024-01-30,379.59
2024-01-31,376.79
2024-02-01,376.63
2024-02-02,380.56
2024-02-05,375.81
2024-02-06,377.75
2024-02-07,379.39
2024-02-08,377.8
2024-02-09,377.03
2024-02-12,385.25
2024-02-13,371.62
2024-02-14,370.93
2024-02-15,378.17
2024-02-16,377.21
2024-02-20,377.29
2024-02-21,380.96
2024-02-22,383.12
2024-02-23,383.69
2024-02-26,382.88
2024-02-27,383.46
2024-02-28,388.52
2024-02-29,384.44
2024-03-01,383.5
2024-03-04,387.6
2024-03-05,386.27
2024-03-06,384.95
2024-03-07,383.82
2024-03-08,382.4
2024-03-11,381.58
2024-03-12,383.58
2024-03-13,387.66
2024-03-14,384.0
2024-03-15,382.62
2024-03-18,379.81
2024-03-19,384.05
2024-03-20,391.77
2024-03-21,408.8
2024-03-22,401.99
2024-03-25,400.14
2024-03-26,401.36
2024-03-27,410.32
2024-03-28,412.74
2024-04-01,408.61
2024-04-02,405.29
2024-04-03,409.09
2024-04-04,401.43
2024-04-05,403.23
2024-04-08,405.67
2024-04-09,405.84
2024-04-10,396.01
2024-04-11,392.77
2024-04-12,384.87
2024-04-15,396.13
2024-04-16,392.15
2024-04-17,399.12
2024-04-18,398.33
2024-04-19,399.21
2024-04-22,412.4
2024-04-23,418.97
2024-04-24,418.02
2024-04-25,415.07
2024-04-26,422.5
2024-04-29,425.7
2024-04-30,421.65
2024-05-01,421.89
2024-05-02,427.44
2024-05-03,432.98
2024-05-06,438.41
2024-05-07,438.54
2024-05-08,441.65
2024-05-09,450.16
2024-05-10,449.34
2024-05-13,448.18
2024-05-14,453.03
2024-05-15,460.56
2024-05-16,459.01
2024-05-17,462.17
2024-05-20,457.45
2024-05-21,464.83
2024-05-22,456.9
2024-05-23,452.72
2024-05-24,455.71
2024-05-28,454.36
2024-05-29,451.75
2024-05-30,447.58
2024-05-31,453.84
2024-06-03,452.3
2024-06-04,452.62
2024-06-05,458.96
2024-06-06,455.41
2024-06-07,452.23
2024-06-10,450.88
2024-06-11,441.66
2024-06-12,446.06
2024-06-13,443.72
2024-06-14,443.83
2024-06-17,447.53
2024-06-18,454.74
2024-06-20,455.36
2024-06-21,447.53
2024-06-24,459.37
2024-06-25,454.69
2024-06-26,453.18
2024-06-27,443.34
2024-06-28,449.66
2024-07-01,460.93
2024-07-02,462.87
2024-07-03,465.17
2024-07-05,462.02
2024-07-08,462.09
2024-07-09,470.05
2024-07-10,476.07
2024-07-11,476.41
2024-07-12,477.06
2024-07-15,489.34
2024-07-16,500.06
2024-07-17,499.23
2024-07-18,483.35
2024-07-19,482.08
2024-07-22,484.18
2024-07-23,489.26
2024-07-24,483.84
2024-07-25,488.82
2024-07-26,496.1
2024-07-29,489.82
2024-07-30,502.7
2024-07-31,506.04
2024-08-01,497.18
2024-08-02,467.87
2024-08-05,456.32
2024-08-06,467.45
2024-08-07,470.23
2024-08-08,482.91
2024-08-09,487.38
2024-08-12,482.64
2024-08-13,489.05
2024-08-14,495.77
2024-08-15,496.09
2024-08-16,501.29
2024-08-19,501.71
2024-08-20,494.42
2024-08-21,493.54
2024-08-22,494.82
2024-08-23,506.42
2024-08-26,504.88
2024-08-27,504.28
2024-08-28,500.37
2024-08-29,507.1
2024-08-30,510.25
2024-09-03,487.46
