Date,INTC
2023-09-05,36.11
2023-09-06,36.37
2023-09-07,37.55
2023-09-08,37.38
2023-09-11,37.96
2023-09-12,38.22
2023-09-13,38.07
2023-09-14,38.03
2023-09-15,37.26
2023-09-18,37.37
2023-09-19,35.74
2023-09-20,34.12
2023-09-21,34.08
2023-09-22,33.62
2023-09-25,33.73
2023-09-26,33.27
2023-09-27,34.04
2023-09-28,34.6
2023-09-29,34.97
2023-10-02,34.88
2023-10-03,35.1
2023-10-04,35.34
2023-10-05,35.3
2023-10-06,35.59
2023-10-09,35.47
2023-10-10,35.83
2023-10-11,36.27
2023-10-12,36.23
2023-10-13,35.38
2023-10-16,35.96
2023-10-17,35.47
2023-10-18,35.05
2023-10-19,35.08
2023-10-20,34.35
2023-10-23,33.29
2023-10-24,34.02
2023-10-25,32.29
2023-10-26,31.99
2023-10-27,34.96
2023-10-30,35.1
2023-10-31,35.9
2023-11-01,36.68
2023-11-02,37.08
2023-11-03,37.51
2023-11-06,37.45
2023-11-07,38.26
2023-11-08,37.42
2023-11-09,37.3
2023-11-10,38.35
2023-11-13,37.72
2023-11-14,38.89
2023-11-15,40.07
2023-11-16,42.78
2023-11-17,43.23
2023-11-20,44.15
2023-11-21,43.06
2023-11-22,43.09
2023-11-24,43.38
2023-11-27,43.5
2023-11-28,43.65
2023-11-29,44.35
2023-11-30,44.11
2023-12-01,43.16
2023-12-04,41.79
2023-12-05,41.37
2023-12-06,40.72
2023-12-07,41.59
2023-12-08,42.14
2023-12-11,43.95
2023-12-12,43.46
2023-12-13,43.98
2023-12-14,44.58
2023-12-15,45.55
2023-12-18,45.09
2023-12-19,46.04
2023-12-20,45.16
2023-12-21,46.46
2023-12-22,47.37
2023-12-26,49.83
2023-12-27,50.09
2023-12-28,49.72
2023-12-29,49.59
2024-01-02,47.17
2024-01-03,46.43
2024-01-04,46.25
2024-01-05,46.27
2024-01-08,47.81
2024-01-09,47.41
2024-01-10,46.84
2024-01-11,47.01
2024-01-12,46.5
2024-01-16,46.44
2024-01-17,45.45
2024-01-18,46.12
2024-01-19,47.51
2024-01-22,47.58
2024-01-23,48.24
2024-01-24,48.44
2024-01-25,48.9
2024-01-26,43.07
2024-01-29,43.26
2024-01-30,42.35
2024-01-31,42.51
2024-02-01,42.79
2024-02-02,42.04
2024-02-05,42.2
2024-02-06,42.3
2024-02-07,42.34
2024-02-08,42.06
2024-02-09,42.86
2024-02-12,43.58
2024-02-13,42.71
2024-02-14,43.73
2024-02-15,43.6
2024-02-16,43.06
2024-02-20,44.06
2024-02-21,43.02
2024-02-22,42.54
2024-02-23,42.55
2024-02-26,42.55
2024-02-27,42.29
2024-02-28,41.56
2024-02-29,42.61
2024-03-01,43.37
2024-03-04,45.14
2024-03-05,42.71
2024-03-06,44.05
2024-03-07,45.67
2024-03-08,43.55
2024-03-11,44.4
2024-03-12,44.77
2024-03-13,42.78
2024-03-14,42.31
2024-03-15,42.2
2024-03-18,42.27
2024-03-19,41.62
2024-03-20,41.76
2024-03-21,41.98
2024-03-22,42.13
2024-03-25,41.4
2024-03-26,41.56
2024-03-27,43.32
2024-03-28,43.71
2024-04-01,44.06
2024-04-02,43.49
2024-04-03,39.91
2024-04-04,39.32
2024-04-05,38.31
2024-04-08,37.59
2024-04-09,37.93
2024-04-10,36.82
2024-04-11,37.24
2024-04-12,35.32
2024-04-15,35.94
2024-04-16,35.89
2024-04-17,35.31
2024-04-18,34.68
2024-04-19,33.85
2024-04-22,34.05
2024-04-23,33.93
2024-04-24,34.14
2024-04-25,34.75
2024-04-26,31.55
2024-04-29,31.04
2024-04-30,30.16
2024-05-01,30.06
2024-05-02,30.2
2024-05-03,30.58
2024-05-06,30.77
2024-05-07,30.49
2024-05-08,29.81
2024-05-09,29.9
2024-05-10,29.66
2024-05-13,30.32
2024-05-14,30.85
2024-05-15,31.07
2024-05-16,31.83
2024-05-17,31.63
2024-05-20,31.9
2024-05-21,31.54
2024-05-22,31.22
2024-05-23,29.89
2024-05-24,30.53
2024-05-28,30.86
2024-05-29,29.94
2024-05-30,30.0
2024-05-31,30.66
2024-06-03,30.1
2024-06-04,29.84
2024-06-05,30.59
2024-06-06,30.23
2024-06-07,30.55
2024-06-10,30.72
2024-06-11,30.73
2024-06-12,30.57
2024-06-13,30.27
2024-06-14,30.26
2024-06-17,30.78
2024-06-18,30.44
2024-06-20,30.43
2024-06-21,30.89
2024-06-24,30.38
2024-06-25,30.55
2024-06-26,30.35
2024-06-27,30.4
2024-06-28,30.77
2024-07-01,30.65
2024-07-02,30.87
2024-07-03,31.03
2024-07-05,31.82
2024-07-08,33.78
2024-07-09,34.37
2024-07-10,34.65
2024-07-11,33.29
2024-07-12,34.27
2024-07-15,34.24
2024-07-16,34.12
2024-07-17,34.24
2024-07-18,34.65
2024-07-19,32.77
2024-07-22,33.16
2024-07-23,32.74
2024-07-24,31.5
2024-07-25,30.9
2024-07-26,31.15
2024-07-29,30.64
2024-07-30,29.94
2024-07-31,30.55
2024-08-01,28.87
2024-08-02,21.34
2024-08-05,19.98
2024-08-06,19.7
2024-08-07,18.99
2024-08-08,20.49
2024-08-09,19.71
2024-08-12,19.36
2024-08-13,20.47
2024-08-14,19.92
2024-08-15,20.69
2024-08-16,20.87
2024-08-19,21.52
2024-08-20,20.99
2024-08-21,21.41
2024-08-22,20.1
2024-08-23,20.54
2024-08-26,20.13
2024-08-27,20.07
2024-08-28,19.61
2024-08-29,20.13
2024-08-30,22.04
2024-09-03,20.1
