Date,JPM
2023-09-05,141.64
2023-09-06,141.4
2023-09-07,140.19
2023-09-08,140.3
2023-09-11,140.92
2023-09-12,142.75
2023-09-13,142.82
2023-09-14,145.59
2023-09-15,145.16
2023-09-18,145.46
2023-09-19,145.28
2023-09-20,144.66
2023-09-21,143.53
2023-09-22,142.15
2023-09-25,142.86
2023-09-26,141.37
2023-09-27,142.2
2023-09-28,143.97
2023-09-29,141.46
2023-10-02,140.24
2023-10-03,139.21
2023-10-04,139.83
2023-10-05,140.42
2023-10-06,142.58
2023-10-09,142.26
2023-10-10,143.12
2023-10-11,143.62
2023-10-12,143.28
2023-10-13,145.43
2023-10-16,145.29
2023-10-17,144.97
2023-10-18,143.38
2023-10-19,142.77
2023-10-20,140.47
2023-10-23,138.56
2023-10-24,138.72
2023-10-25,137.97
2023-10-26,138.32
2023-10-27,133.34
2023-10-30,135.04
2023-10-31,136.65
2023-11-01,136.53
2023-11-02,138.97
2023-11-03,140.52
2023-11-06,141.58
2023-11-07,141.51
2023-11-08,142.21
2023-11-09,141.79
2023-11-10,143.89
2023-11-13,143.25
2023-11-14,145.87
2023-11-15,147.14
2023-11-16,148.82
2023-11-17,150.17
2023-11-20,150.63
2023-11-21,150.32
2023-11-22,150.67
2023-11-24,150.88
2023-11-27,150.53
2023-11-28,150.88
2023-11-29,151.64
2023-11-30,153.37
2023-12-01,154.12
2023-12-04,155.25
2023-12-05,155.23
2023-12-06,153.6
2023-12-07,154.07
2023-12-08,155.77
2023-12-11,156.34
2023-12-12,157.74
2023-12-13,158.27
2023-12-14,161.15
2023-12-15,162.37
2023-12-18,163.35
2023-12-19,165.53
2023-12-20,163.66
2023-12-21,164.6
2023-12-22,164.5
2023-12-26,165.47
2023-12-27,166.46
2023-12-28,167.35
2023-12-29,167.15
2024-01-02,169.1
2024-01-03,168.36
2024-01-04,169.48
2024-01-05,170.33
2024-01-08,170.08
2024-01-09,168.74
2024-01-10,169.09
2024-01-11,168.38
2024-01-12,167.14
2024-01-16,166.1
2024-01-17,165.21
2024-01-18,165.53
2024-01-19,168.39
2024-01-22,168.19
2024-01-23,167.08
2024-01-24,168.58
2024-01-25,170.99
2024-01-26,170.34
2024-01-29,170.78
2024-01-30,174.28
2024-01-31,172.39
2024-02-01,171.77
2024-02-02,172.76
2024-02-05,172.53
2024-02-06,173.13
2024-02-07,173.45
2024-02-08,172.83
2024-02-09,173.04
2024-02-12,173.81
2024-02-13,172.29
2024-02-14,174.04
2024-02-15,177.84
2024-02-16,177.01
2024-02-20,177.7
2024-02-21,178.86
2024-02-22,181.01
2024-02-23,181.91
2024-02-26,181.29
2024-02-27,181.38
2024-02-28,182.3
2024-02-29,183.96
2024-03-01,183.2
2024-03-04,184.57
2024-03-05,186.42
2024-03-06,187.39
2024-03-07,185.75
2024-03-08,186.1
2024-03-11,186.17
2024-03-12,187.7
2024-03-13,189.22
2024-03-14,185.85
2024-03-15,188.15
2024-03-18,190.49
2024-03-19,191.6
2024-03-20,194.12
2024-03-21,196.82
2024-03-22,194.4
2024-03-25,192.62
2024-03-26,193.52
2024-03-27,197.27
2024-03-28,198.04
2024-04-01,196.7
2024-04-02,196.62
2024-04-03,196.06
2024-04-04,194.57
2024-04-05,196.36
2024-04-08,197.39
2024-04-09,196.06
2024-04-10,194.39
2024-04-11,194.35
2024-04-12,181.78
2024-04-15,181.88
2024-04-16,179.8
2024-04-17,179.09
2024-04-18,180.25
2024-04-19,184.78
2024-04-22,188.37
2024-04-23,191.08
2024-04-24,192.02
2024-04-25,192.3
2024-04-26,192.42
2024-04-29,192.21
2024-04-30,190.68
2024-05-01,190.8
2024-05-02,190.6
2024-05-03,189.46
2024-05-06,190.94
2024-05-07,190.69
2024-05-08,194.57
2024-05-09,196.41
2024-05-10,197.67
2024-05-13,197.63
2024-05-14,200.4
2024-05-15,201.0
2024-05-16,201.35
2024-05-17,203.66
2024-05-20,194.5
2024-05-21,198.42
2024-05-22,197.22
2024-05-23,195.83
2024-05-24,199.6
2024-05-28,198.4
2024-05-29,197.02
2024-05-30,198.23
2024-05-31,201.51
2024-06-03,200.71
2024-06-04,198.06
2024-06-05,196.17
2024-06-06,195.82
2024-06-07,198.85
2024-06-10,198.51
2024-06-11,193.29
2024-06-12,190.47
2024-06-13,192.59
2024-06-14,192.71
2024-06-17,193.91
2024-06-18,195.91
2024-06-20,197.58
2024-06-21,195.22
2024-06-24,197.78
2024-06-25,196.98
2024-06-26,196.34
2024-06-27,198.07
2024-06-28,201.15
2024-07-01,204.32
2024-07-02,207.68
2024-07-03,207.54
2024-07-05,204.79
2024-07-08,205.17
2024-07-09,207.63
2024-07-10,207.8
2024-07-11,207.45
2024-07-12,204.94
2024-07-15,210.05
2024-07-16,213.62
2024-07-17,216.87
2024-07-18,209.98
2024-07-19,209.78
2024-07-22,210.28
2024-07-23,210.33
2024-07-24,208.59
2024-07-25,208.67
2024-07-26,212.24
2024-07-29,210.85
2024-07-30,215.19
2024-07-31,212.8
2024-08-01,207.96
2024-08-02,199.14
2024-08-05,194.9
2024-08-06,200.34
2024-08-07,200.4
2024-08-08,204.06
2024-08-09,205.8
2024-08-12,206.19
2024-08-13,207.94
2024-08-14,210.24
2024-08-15,211.55
2024-08-16,213.97
2024-08-19,215.45
2024-08-20,214.52
2024-08-21,214.6
2024-08-22,216.63
2024-08-23,218.31
2024-08-26,219.17
2024-08-27,220.18
2024-08-28,221.29
2024-08-29,222.21
2024-08-30,224.8
2024-09-03,220.3
