Date,MCD
2023-09-05,272.56
2023-09-06,268.93
2023-09-07,271.75
2023-09-08,272.62
2023-09-11,273.15
2023-09-12,274.07
2023-09-13,275.11
2023-09-14,278.03
2023-09-15,271.65
2023-09-18,271.16
2023-09-19,271.56
2023-09-20,270.65
2023-09-21,264.81
2023-09-22,265.79
2023-09-25,263.4
2023-09-26,261.39
2023-09-27,257.41
2023-09-28,259.31
2023-09-29,257.21
2023-10-02,251.66
2023-10-03,248.47
2023-10-04,249.76
2023-10-05,246.27
2023-10-06,242.35
2023-10-09,244.01
2023-10-10,245.57
2023-10-11,244.99
2023-10-12,240.37
2023-10-13,242.44
2023-10-16,244.03
2023-10-17,245.2
2023-10-18,249.98
2023-10-19,252.27
2023-10-20,252.01
2023-10-23,248.73
2023-10-24,251.19
2023-10-25,251.93
2023-10-26,249.78
2023-10-27,249.71
2023-10-30,254.0
2023-10-31,255.97
2023-11-01,255.78
2023-11-02,260.54
2023-11-03,261.54
2023-11-06,262.55
2023-11-07,262.32
2023-11-08,261.17
2023-11-09,260.6
2023-11-10,261.46
2023-11-13,262.84
2023-11-14,265.07
2023-11-15,264.0
2023-11-16,269.59
2023-11-17,269.23
2023-11-20,272.43
2023-11-21,273.84
2023-11-22,275.27
2023-11-24,275.86
2023-11-27,275.18
2023-11-28,275.42
2023-11-29,273.75
2023-11-30,276.83
2023-12-01,280.87
2023-12-04,281.04
2023-12-05,281.44
2023-12-06,281.76
2023-12-07,281.69
2023-12-08,280.45
2023-12-11,284.01
2023-12-12,286.24
2023-12-13,290.67
2023-12-14,284.86
2023-12-15,282.16
2023-12-18,285.07
2023-12-19,285.56
2023-12-20,283.85
2023-12-21,286.21
2023-12-22,286.51
2023-12-26,287.65
2023-12-27,289.31
2023-12-28,290.58
2023-12-29,291.24
2024-01-02,291.76
2024-01-03,289.15
2024-01-04,286.55
2024-01-05,283.85
2024-01-08,286.71
2024-01-09,285.7
2024-01-10,288.86
2024-01-11,288.92
2024-01-12,288.25
2024-01-16,285.91
2024-01-17,285.98
2024-01-18,289.12
2024-01-19,295.18
2024-01-22,293.1
2024-01-23,294.71
2024-01-24,295.1
2024-01-25,291.92
2024-01-26,287.06
2024-01-29,287.11
2024-01-30,289.41
2024-01-31,287.51
2024-02-01,292.78
2024-02-02,291.77
2024-02-05,280.88
2024-02-06,279.59
2024-02-07,282.22
2024-02-08,286.74
2024-02-09,284.32
2024-02-12,284.29
2024-02-13,282.0
2024-02-14,283.04
2024-02-15,286.67
2024-02-16,286.83
2024-02-20,287.44
2024-02-21,288.68
2024-02-22,290.66
2024-02-23,292.45
2024-02-26,291.84
2024-02-27,288.53
2024-02-28,289.94
2024-02-29,288.71
2024-03-01,287.18
2024-03-04,287.39
2024-03-05,288.97
2024-03-06,289.36
2024-03-07,287.56
2024-03-08,288.98
2024-03-11,291.22
2024-03-12,290.72
2024-03-13,279.41
2024-03-14,278.29
2024-03-15,275.73
2024-03-18,275.18
2024-03-19,279.42
2024-03-20,280.98
2024-03-21,280.07
2024-03-22,279.18
2024-03-25,275.22
2024-03-26,275.22
2024-03-27,278.58
2024-03-28,278.51
2024-04-01,276.8
2024-04-02,274.35
2024-04-03,272.18
2024-04-04,266.8
2024-04-05,263.44
2024-04-08,264.3
2024-04-09,266.15
2024-04-10,265.39
2024-04-11,265.34
2024-04-12,264.13
2024-04-15,262.98
2024-04-16,262.19
2024-04-17,266.66
2024-04-18,267.67
2024-04-19,268.67
2024-04-22,272.22
2024-04-23,273.5
2024-04-24,273.37
2024-04-25,272.24
2024-04-26,269.76
2024-04-29,270.21
2024-04-30,269.71
2024-05-01,271.08
2024-05-02,269.95
2024-05-03,267.02
2024-05-06,266.01
2024-05-07,264.24
2024-05-08,265.21
2024-05-09,264.68
2024-05-10,271.65
2024-05-13,268.01
2024-05-14,267.36
2024-05-15,270.53
2024-05-16,270.17
2024-05-17,269.06
2024-05-20,264.6
2024-05-21,262.63
2024-05-22,262.53
2024-05-23,254.78
2024-05-24,254.96
2024-05-28,250.45
2024-05-29,246.33
2024-05-30,249.0
2024-05-31,255.73
2024-06-03,258.25
2024-06-04,261.2
2024-06-05,258.49
2024-06-06,259.21
2024-06-07,254.73
2024-06-10,252.34
2024-06-11,252.81
2024-06-12,253.01
2024-06-13,252.23
2024-06-14,252.11
2024-06-17,252.04
2024-06-18,249.34
2024-06-20,252.33
2024-06-21,257.89
2024-06-24,258.87
2024-06-25,255.89
2024-06-26,256.34
2024-06-27,256.68
2024-06-28,253.37
2024-07-01,248.54
2024-07-02,246.36
2024-07-03,248.55
2024-07-05,249.64
2024-07-08,246.42
2024-07-09,244.4
2024-07-10,249.04
2024-07-11,253.33
2024-07-12,252.43
2024-07-15,250.07
2024-07-16,255.78
2024-07-17,259.49
2024-07-18,258.02
2024-07-19,255.79
2024-07-22,258.04
2024-07-23,252.58
2024-07-24,251.9
2024-07-25,250.01
2024-07-26,250.54
2024-07-29,259.91
2024-07-30,264.9
2024-07-31,263.86
2024-08-01,267.2
2024-08-02,275.09
2024-08-05,266.9
2024-08-06,268.5
2024-08-07,267.81
2024-08-08,269.62
2024-08-09,266.36
2024-08-12,267.9
2024-08-13,268.75
2024-08-14,269.58
2024-08-15,273.28
2024-08-16,276.88
2024-08-19,285.89
2024-08-20,283.98
2024-08-21,288.03
2024-08-22,287.54
2024-08-23,287.85
2024-08-26,287.01
2024-08-27,287.96
2024-08-28,285.39
2024-08-29,286.19
2024-08-30,286.99
2024-09-03,285.52
