Date,NKE
2023-09-05,98.8
2023-09-06,98.66
2023-09-07,96.45
2023-09-08,96.19
2023-09-11,95.32
2023-09-12,94.84
2023-09-13,94.67
2023-09-14,95.72
2023-09-15,94.8
2023-09-18,94.06
2023-09-19,93.19
2023-09-20,92.61
2023-09-21,90.2
2023-09-22,89.47
2023-09-25,89.23
2023-09-26,88.8
2023-09-27,88.06
2023-09-28,88.27
2023-09-29,94.17
2023-10-02,93.13
2023-10-03,93.65
2023-10-04,94.44
2023-10-05,94.34
2023-10-06,95.64
2023-10-09,95.41
2023-10-10,96.14
2023-10-11,97.15
2023-10-12,97.75
2023-10-13,98.4
2023-10-16,100.49
2023-10-17,101.45
2023-10-18,102.2
2023-10-19,101.49
2023-10-20,101.11
2023-10-23,101.25
2023-10-24,103.59
2023-10-25,101.97
2023-10-26,98.5
2023-10-27,96.49
2023-10-30,100.26
2023-10-31,101.21
2023-11-01,99.35
2023-11-02,103.49
2023-11-03,105.44
2023-11-06,105.62
2023-11-07,107.7
2023-11-08,107.73
2023-11-09,105.38
2023-11-10,104.5
2023-11-13,102.62
2023-11-14,104.15
2023-11-15,106.19
2023-11-16,105.98
2023-11-17,104.35
2023-11-20,104.71
2023-11-21,104.93
2023-11-22,106.28
2023-11-24,106.01
2023-11-27,106.32
2023-11-28,107.1
2023-11-29,108.7
2023-11-30,108.6
2023-12-01,112.14
2023-12-04,113.79
2023-12-05,114.04
2023-12-06,114.73
2023-12-07,113.45
2023-12-08,114.54
2023-12-11,117.2
2023-12-12,118.22
2023-12-13,119.73
2023-12-14,119.59
2023-12-15,120.11
2023-12-18,119.7
2023-12-19,121.19
2023-12-20,119.99
2023-12-21,121.08
2023-12-22,106.76
2023-12-26,106.74
2023-12-27,105.86
2023-12-28,107.53
2023-12-29,107.28
2024-01-02,105.29
2024-01-03,102.81
2024-01-04,101.09
2024-01-05,100.87
2024-01-08,102.39
2024-01-09,101.52
2024-01-10,102.54
2024-01-11,104.65
2024-01-12,103.82
2024-01-16,100.51
2024-01-17,99.63
2024-01-18,99.74
2024-01-19,100.57
2024-01-22,99.37
2024-01-23,100.69
2024-01-24,99.57
2024-01-25,99.58
2024-01-26,101.53
2024-01-29,102.65
2024-01-30,102.95
2024-01-31,100.33
2024-02-01,100.55
2024-02-02,99.52
2024-02-05,98.5
2024-02-06,101.39
2024-02-07,102.56
2024-02-08,102.54
2024-02-09,103.26
2024-02-12,105.91
2024-02-13,103.76
2024-02-14,105.07
2024-02-15,104.79
2024-02-16,102.28
2024-02-20,102.08
2024-02-21,104.02
2024-02-22,103.84
2024-02-23,104.38
2024-02-26,103.3
2024-02-27,103.9
2024-02-28,103.11
2024-02-29,102.7
2024-03-01,101.03
2024-03-04,98.71
2024-03-05,97.49
2024-03-06,96.82
2024-03-07,97.37
2024-03-08,98.34
2024-03-11,100.24
2024-03-12,99.35
2024-03-13,100.52
2024-03-14,99.43
2024-03-15,98.81
2024-03-18,97.92
2024-03-19,99.13
2024-03-20,99.44
2024-03-21,99.98
2024-03-22,93.08
2024-03-25,92.97
2024-03-26,91.81
2024-03-27,93.35
2024-03-28,93.2
2024-04-01,91.79
2024-04-02,90.19
2024-04-03,89.58
2024-04-04,88.33
2024-04-05,88.1
2024-04-08,89.25
2024-04-09,90.24
2024-04-10,88.26
2024-04-11,91.23
2024-04-12,91.23
2024-04-15,92.33
2024-04-16,92.61
2024-04-17,94.05
2024-04-18,94.94
2024-04-19,93.74
2024-04-22,93.41
2024-04-23,93.24
2024-04-24,93.85
2024-04-25,93.16
2024-04-26,93.34
2024-04-29,93.28
2024-04-30,91.49
2024-05-01,89.59
2024-05-02,91.64
2024-05-03,91.38
2024-05-06,92.58
2024-05-07,93.0
2024-05-08,92.81
2024-05-09,92.61
2024-05-10,90.18
2024-05-13,91.95
2024-05-14,92.02
2024-05-15,90.91
2024-05-16,91.01
2024-05-17,91.41
2024-05-20,91.01
2024-05-21,92.05
2024-05-22,91.73
2024-05-23,90.64
2024-05-24,90.99
2024-05-28,91.23
2024-05-29,90.91
2024-05-30,92.67
2024-05-31,94.26
2024-06-03,93.98
2024-06-04,94.32
2024-06-05,93.9
2024-06-06,95.29
2024-06-07,96.12
2024-06-10,95.57
2024-06-11,95.44
2024-06-12,93.26
2024-06-13,93.76
2024-06-14,92.98
2024-06-17,94.58
2024-06-18,94.36
2024-06-20,95.15
2024-06-21,96.75
2024-06-24,96.74
2024-06-25,94.33
2024-06-26,93.64
2024-06-27,93.77
2024-06-28,75.04
2024-07-01,76.49
2024-07-02,75.7
2024-07-03,74.91
2024-07-05,75.1
2024-07-08,72.73
2024-07-09,72.14
2024-07-10,72.22
2024-07-11,73.06
2024-07-12,73.09
2024-07-15,70.99
2024-07-16,72.49
2024-07-17,72.75
2024-07-18,72.06
2024-07-19,72.38
2024-07-22,74.53
2024-07-23,73.07
2024-07-24,70.77
2024-07-25,71.09
2024-07-26,72.24
2024-07-29,73.22
2024-07-30,73.99
2024-07-31,74.53
2024-08-01,73.52
2024-08-02,73.68
2024-08-05,71.1
2024-08-06,72.18
2024-08-07,72.3
2024-08-08,73.86
2024-08-09,74.01
2024-08-12,74.31
2024-08-13,78.15
2024-08-14,78.17
2024-08-15,82.13
2024-08-16,82.86
2024-08-19,82.91
2024-08-20,83.19
2024-08-21,83.63
2024-08-22,83.04
2024-08-23,83.68
2024-08-26,83.91
2024-08-27,84.91
2024-08-28,82.42
2024-08-29,82.89
2024-08-30,82.95
2024-09-03,81.32
