Date,O
2023-09-05,52.14
2023-09-06,51.9
2023-09-07,51.98
2023-09-08,52.21
2023-09-11,52.07
2023-09-12,52.05
2023-09-13,51.96
2023-09-14,52.02
2023-09-15,51.06
2023-09-18,50.71
2023-09-19,50.96
2023-09-20,50.78
2023-09-21,49.13
2023-09-22,48.66
2023-09-25,48.31
2023-09-26,47.43
2023-09-27,46.87
2023-09-28,46.83
2023-09-29,47.38
2023-10-02,46.48
2023-10-03,46.38
2023-10-04,47.03
2023-10-05,47.49
2023-10-06,47.54
2023-10-09,47.96
2023-10-10,47.62
2023-10-11,48.34
2023-10-12,47.7
2023-10-13,47.99
2023-10-16,48.14
2023-10-17,48.35
2023-10-18,47.35
2023-10-19,46.88
2023-10-20,46.82
2023-10-23,46.49
2023-10-24,47.05
2023-10-25,46.75
2023-10-26,47.23
2023-10-27,46.49
2023-10-30,43.85
2023-10-31,45.2
2023-11-01,45.78
2023-11-02,47.73
2023-11-03,48.51
2023-11-06,48.14
2023-11-07,48.37
2023-11-08,48.84
2023-11-09,47.86
2023-11-10,47.76
2023-11-13,47.6
2023-11-14,49.74
2023-11-15,50.05
2023-11-16,50.65
2023-11-17,50.47
2023-11-20,50.77
2023-11-21,51.08
2023-11-22,50.86
2023-11-24,51.43
2023-11-27,51.64
2023-11-28,51.33
2023-11-29,51.2
2023-11-30,51.72
2023-12-01,52.34
2023-12-04,53.23
2023-12-05,52.64
2023-12-06,52.44
2023-12-07,52.42
2023-12-08,51.63
2023-12-11,52.13
2023-12-12,52.22
2023-12-13,54.27
2023-12-14,55.42
2023-12-15,54.91
2023-12-18,54.17
2023-12-19,54.75
2023-12-20,54.35
2023-12-21,54.6
2023-12-22,54.53
2023-12-26,55.31
2023-12-27,55.6
2023-12-28,56.15
2023-12-29,55.28
2024-01-02,56.39
2024-01-03,55.58
2024-01-04,55.54
2024-01-05,55.76
2024-01-08,57.27
2024-01-09,57.08
2024-01-10,56.91
2024-01-11,57.06
2024-01-12,56.71
2024-01-16,56.17
2024-01-17,55.08
2024-01-18,54.03
2024-01-19,54.42
2024-01-22,53.51
2024-01-23,53.91
2024-01-24,52.94
2024-01-25,53.36
2024-01-26,52.92
2024-01-29,52.87
2024-01-30,53.13
2024-01-31,52.61
2024-02-01,53.44
2024-02-02,52.42
2024-02-05,50.93
2024-02-06,51.99
2024-02-07,51.61
2024-02-08,51.42
2024-02-09,51.03
2024-02-12,50.95
2024-02-13,49.83
2024-02-14,49.71
2024-02-15,50.32
2024-02-16,50.62
2024-02-20,50.75
2024-02-21,50.97
2024-02-22,51.09
2024-02-23,51.21
2024-02-26,50.77
2024-02-27,50.6
2024-02-28,50.32
2024-02-29,50.65
2024-03-01,50.78
2024-03-04,51.24
2024-03-05,50.79
2024-03-06,50.7
2024-03-07,50.78
2024-03-08,51.43
2024-03-11,51.61
2024-03-12,51.4
2024-03-13,50.82
2024-03-14,50.22
2024-03-15,50.73
2024-03-18,50.75
2024-03-19,50.64
2024-03-20,50.98
2024-03-21,51.02
2024-03-22,50.63
2024-03-25,50.71
2024-03-26,51.13
2024-03-27,52.27
2024-03-28,52.84
2024-04-01,52.22
2024-04-02,51.64
2024-04-03,51.54
2024-04-04,51.4
2024-04-05,51.78
2024-04-08,52.39
2024-04-09,53.11
2024-04-10,50.93
2024-04-11,51.02
2024-04-12,50.81
2024-04-15,50.45
2024-04-16,49.62
2024-04-17,50.09
2024-04-18,50.82
2024-04-19,51.81
2024-04-22,52.09
2024-04-23,52.15
2024-04-24,52.42
2024-04-25,52.55
2024-04-26,52.46
2024-04-29,53.05
2024-04-30,52.54
2024-05-01,52.92
2024-05-02,53.89
2024-05-03,54.23
2024-05-06,54.42
2024-05-07,54.0
2024-05-08,53.77
2024-05-09,53.61
2024-05-10,53.99
2024-05-13,53.94
2024-05-14,53.85
2024-05-15,54.08
2024-05-16,54.16
2024-05-17,54.1
2024-05-20,53.96
2024-05-21,54.05
2024-05-22,52.72
2024-05-23,51.34
2024-05-24,51.21
2024-05-28,50.61
2024-05-29,50.22
2024-05-30,50.79
2024-05-31,52.07
2024-06-03,52.58
2024-06-04,53.68
2024-06-05,53.29
2024-06-06,53.52
2024-06-07,52.59
2024-06-10,51.99
2024-06-11,51.52
2024-06-12,51.97
2024-06-13,52.49
2024-06-14,52.64
2024-06-17,52.34
2024-06-18,52.37
2024-06-20,52.28
2024-06-21,52.42
2024-06-24,52.9
2024-06-25,52.19
2024-06-26,51.96
2024-06-27,51.71
2024-06-28,52.09
2024-07-01,51.9
2024-07-02,51.97
2024-07-03,51.99
2024-07-05,52.62
2024-07-08,52.69
2024-07-09,52.3
2024-07-10,53.11
2024-07-11,54.52
2024-07-12,55.26
2024-07-15,55.49
2024-07-16,55.87
2024-07-17,57.12
2024-07-18,57.22
2024-07-19,57.07
2024-07-22,57.05
2024-07-23,56.98
2024-07-24,56.76
2024-07-25,56.86
2024-07-26,57.56
2024-07-29,57.7
2024-07-30,57.86
2024-07-31,56.92
2024-08-01,57.76
2024-08-02,59.07
2024-08-05,58.93
2024-08-06,60.18
2024-08-07,60.02
2024-08-08,59.97
2024-08-09,60.31
2024-08-12,60.05
2024-08-13,60.05
2024-08-14,59.91
2024-08-15,59.46
2024-08-16,59.8
2024-08-19,60.6
2024-08-20,60.3
2024-08-21,60.67
2024-08-22,60.24
2024-08-23,60.83
2024-08-26,61.51
2024-08-27,61.89
2024-08-28,61.73
2024-08-29,61.14
2024-08-30,61.85
2024-09-03,62.28
