Date,PAYO
2023-09-05,6.17
2023-09-06,6.19
2023-09-07,6.24
2023-09-08,6.21
2023-09-11,6.38
2023-09-12,6.31
2023-09-13,6.11
2023-09-14,6.11
2023-09-15,6.16
2023-09-18,6.01
2023-09-19,6.03
2023-09-20,5.85
2023-09-21,6.08
2023-09-22,6.04
2023-09-25,6.13
2023-09-26,5.89
2023-09-27,6.05
2023-09-28,6.13
2023-09-29,6.12
2023-10-02,6.21
2023-10-03,5.91
2023-10-04,6.04
2023-10-05,6.13
2023-10-06,6.24
2023-10-09,6.06
2023-10-10,6.08
2023-10-11,5.92
2023-10-12,5.78
2023-10-13,5.67
2023-10-16,5.88
2023-10-17,6.0
2023-10-18,5.85
2023-10-19,5.87
2023-10-20,5.77
2023-10-23,5.74
2023-10-24,6.04
2023-10-25,5.69
2023-10-26,5.68
2023-10-27,5.62
2023-10-30,5.76
2023-10-31,5.79
2023-11-01,5.75
2023-11-02,5.79
2023-11-03,5.71
2023-11-06,5.59
2023-11-07,5.72
2023-11-08,5.6
2023-11-09,5.29
2023-11-10,5.44
2023-11-13,5.39
2023-11-14,5.7
2023-11-15,5.7
2023-11-16,5.5
2023-11-17,5.47
2023-11-20,5.44
2023-11-21,5.4
2023-11-22,5.38
2023-11-24,5.49
2023-11-27,5.31
2023-11-28,5.39
2023-11-29,5.2
2023-11-30,5.18
2023-12-01,5.26
2023-12-04,5.11
2023-12-05,5.06
2023-12-06,5.03
2023-12-07,5.1
2023-12-08,5.13
2023-12-11,5.05
2023-12-12,5.31
2023-12-13,5.17
2023-12-14,5.06
2023-12-15,4.8
2023-12-18,4.88
2023-12-19,4.92
2023-12-20,4.91
2023-12-21,5.09
2023-12-22,5.12
2023-12-26,5.16
2023-12-27,5.23
2023-12-28,5.27
2023-12-29,5.21
2024-01-02,5.03
2024-01-03,4.97
2024-01-04,4.95
2024-01-05,4.96
2024-01-08,5.06
2024-01-09,5.04
2024-01-10,4.87
2024-01-11,4.92
2024-01-12,4.82
2024-01-16,4.84
2024-01-17,4.74
2024-01-18,4.78
2024-01-19,4.8
2024-01-22,4.85
2024-01-23,4.86
2024-01-24,4.79
2024-01-25,4.78
2024-01-26,4.74
2024-01-29,4.91
2024-01-30,4.77
2024-01-31,4.68
2024-02-01,4.76
2024-02-02,4.87
2024-02-05,4.82
2024-02-06,4.89
2024-02-07,4.85
2024-02-08,4.97
2024-02-09,5.03
2024-02-12,5.15
2024-02-13,5.07
2024-02-14,5.39
2024-02-15,5.45
2024-02-16,5.41
2024-02-20,5.4
2024-02-21,5.33
2024-02-22,5.33
2024-02-23,5.49
2024-02-26,5.5
2024-02-27,5.56
2024-02-28,4.47
2024-02-29,4.86
2024-03-01,4.94
2024-03-04,4.64
2024-03-05,4.55
2024-03-06,4.51
2024-03-07,4.48
2024-03-08,4.6
2024-03-11,4.54
2024-03-12,4.49
2024-03-13,4.46
2024-03-14,4.33
2024-03-15,4.27
2024-03-18,4.5
2024-03-19,4.62
2024-03-20,4.8
2024-03-21,4.78
2024-03-22,4.65
2024-03-25,4.69
2024-03-26,4.72
2024-03-27,4.89
2024-03-28,4.86
2024-04-01,4.89
2024-04-02,4.88
2024-04-03,4.9
2024-04-04,4.73
2024-04-05,4.81
2024-04-08,4.88
2024-04-09,4.86
2024-04-10,4.87
2024-04-11,4.89
2024-04-12,4.83
2024-04-15,4.8
2024-04-16,4.82
2024-04-17,4.85
2024-04-18,4.85
2024-04-19,4.89
2024-04-22,4.94
2024-04-23,5.17
2024-04-24,4.96
2024-04-25,4.93
2024-04-26,5.01
2024-04-29,4.97
2024-04-30,4.94
2024-05-01,4.95
2024-05-02,5.0
2024-05-03,5.08
2024-05-06,5.2
2024-05-07,5.22
2024-05-08,5.88
2024-05-09,5.87
2024-05-10,5.84
2024-05-13,5.75
2024-05-14,5.86
2024-05-15,5.81
2024-05-16,5.86
2024-05-17,5.87
2024-05-20,5.88
2024-05-21,5.96
2024-05-22,5.94
2024-05-23,5.9
2024-05-24,6.03
2024-05-28,6.04
2024-05-29,5.99
2024-05-30,6.05
2024-05-31,5.99
2024-06-03,5.88
2024-06-04,5.81
2024-06-05,5.93
2024-06-06,5.92
2024-06-07,5.91
2024-06-10,5.77
2024-06-11,5.71
2024-06-12,5.7
2024-06-13,5.53
2024-06-14,5.47
2024-06-17,5.47
2024-06-18,5.4
2024-06-20,5.48
2024-06-21,5.44
2024-06-24,5.38
2024-06-25,5.59
2024-06-26,5.59
2024-06-27,5.57
2024-06-28,5.54
2024-07-01,5.43
2024-07-02,5.46
2024-07-03,5.47
2024-07-05,5.46
2024-07-08,5.49
2024-07-09,5.53
2024-07-10,5.29
2024-07-11,5.31
2024-07-12,5.27
2024-07-15,5.37
2024-07-16,5.53
2024-07-17,5.54
2024-07-18,5.48
2024-07-19,5.52
2024-07-22,5.52
2024-07-23,5.56
2024-07-24,5.37
2024-07-25,5.41
2024-07-26,5.47
2024-07-29,5.46
2024-07-30,5.59
2024-07-31,5.53
2024-08-01,5.61
2024-08-02,5.38
2024-08-05,5.21
2024-08-06,5.25
2024-08-07,6.47
2024-08-08,6.71
2024-08-09,6.73
2024-08-12,6.92
2024-08-13,7.1
2024-08-14,6.86
2024-08-15,7.0
2024-08-16,7.14
2024-08-19,7.14
2024-08-20,6.95
2024-08-21,6.96
2024-08-22,6.96
2024-08-23,7.03
2024-08-26,7.13
2024-08-27,7.22
2024-08-28,7.1
2024-08-29,7.39
2024-08-30,7.43
2024-09-03,7.21
