Date,PK
2023-09-05,11.08
2023-09-06,11.05
2023-09-07,10.79
2023-09-08,11.13
2023-09-11,11.24
2023-09-12,11.45
2023-09-13,11.02
2023-09-14,11.15
2023-09-15,11.31
2023-09-18,10.92
2023-09-19,10.85
2023-09-20,10.68
2023-09-21,10.41
2023-09-22,10.29
2023-09-25,10.34
2023-09-26,10.22
2023-09-27,10.42
2023-09-28,10.94
2023-09-29,10.76
2023-10-02,10.63
2023-10-03,10.21
2023-10-04,10.49
2023-10-05,10.51
2023-10-06,10.44
2023-10-09,10.37
2023-10-10,10.57
2023-10-11,10.52
2023-10-12,10.5
2023-10-13,10.29
2023-10-16,10.56
2023-10-17,10.7
2023-10-18,10.5
2023-10-19,10.29
2023-10-20,10.19
2023-10-23,10.23
2023-10-24,10.48
2023-10-25,10.28
2023-10-26,10.25
2023-10-27,9.72
2023-10-30,10.05
2023-10-31,10.07
2023-11-01,10.02
2023-11-02,11.26
2023-11-03,12.03
2023-11-06,11.75
2023-11-07,11.68
2023-11-08,11.4
2023-11-09,11.38
2023-11-10,11.5
2023-11-13,11.5
2023-11-14,12.14
2023-11-15,12.34
2023-11-16,12.29
2023-11-17,12.49
2023-11-20,12.72
2023-11-21,12.56
2023-11-22,12.59
2023-11-24,12.71
2023-11-27,12.66
2023-11-28,12.92
2023-11-29,12.8
2023-11-30,12.96
2023-12-01,13.05
2023-12-04,13.23
2023-12-05,12.91
2023-12-06,12.87
2023-12-07,13.09
2023-12-08,13.26
2023-12-11,13.37
2023-12-12,13.47
2023-12-13,13.83
2023-12-14,14.64
2023-12-15,14.29
2023-12-18,14.29
2023-12-19,14.35
2023-12-20,14.21
2023-12-21,14.55
2023-12-22,14.73
2023-12-26,15.03
2023-12-27,15.09
2023-12-28,14.9
2023-12-29,14.83
2024-01-02,14.99
2024-01-03,14.99
2024-01-04,15.25
2024-01-05,15.54
2024-01-08,15.87
2024-01-09,15.61
2024-01-10,15.76
2024-01-11,15.62
2024-01-12,15.5
2024-01-16,15.45
2024-01-17,15.4
2024-01-18,15.51
2024-01-19,15.97
2024-01-22,15.78
2024-01-23,15.08
2024-01-24,14.92
2024-01-25,15.05
2024-01-26,15.07
2024-01-29,15.27
2024-01-30,15.12
2024-01-31,14.62
2024-02-01,14.82
2024-02-02,14.74
2024-02-05,14.58
2024-02-06,14.78
2024-02-07,14.61
2024-02-08,14.79
2024-02-09,14.72
2024-02-12,14.76
2024-02-13,14.24
2024-02-14,14.43
2024-02-15,14.79
2024-02-16,14.6
2024-02-20,14.86
2024-02-21,15.16
2024-02-22,15.74
2024-02-23,15.41
2024-02-26,15.25
2024-02-27,15.44
2024-02-28,16.18
2024-02-29,16.09
2024-03-01,16.77
2024-03-04,16.88
2024-03-05,16.79
2024-03-06,16.79
2024-03-07,16.6
2024-03-08,16.64
2024-03-11,16.64
2024-03-12,16.79
2024-03-13,16.58
2024-03-14,16.5
2024-03-15,16.58
2024-03-18,16.61
2024-03-19,16.74
2024-03-20,16.9
2024-03-21,17.2
2024-03-22,17.1
2024-03-25,17.11
2024-03-26,16.98
2024-03-27,17.35
2024-03-28,17.2
2024-04-01,17.29
2024-04-02,16.95
2024-04-03,16.88
2024-04-04,16.83
2024-04-05,17.1
2024-04-08,17.47
2024-04-09,17.33
2024-04-10,16.86
2024-04-11,17.17
2024-04-12,16.73
2024-04-15,16.51
2024-04-16,16.22
2024-04-17,16.03
2024-04-18,15.86
2024-04-19,15.88
2024-04-22,16.08
2024-04-23,16.45
2024-04-24,16.51
2024-04-25,16.06
2024-04-26,16.29
2024-04-29,16.39
2024-04-30,15.86
2024-05-01,15.7
2024-05-02,15.68
2024-05-03,15.82
2024-05-06,16.1
2024-05-07,15.86
2024-05-08,15.53
2024-05-09,15.68
2024-05-10,15.49
2024-05-13,15.57
2024-05-14,15.85
2024-05-15,15.86
2024-05-16,16.12
2024-05-17,16.05
2024-05-20,15.97
2024-05-21,15.96
2024-05-22,15.86
2024-05-23,15.63
2024-05-24,15.78
2024-05-28,15.65
2024-05-29,15.33
2024-05-30,15.29
2024-05-31,15.59
2024-06-03,15.66
2024-06-04,15.42
2024-06-05,15.08
2024-06-06,14.97
2024-06-07,14.67
2024-06-10,14.75
2024-06-11,14.38
2024-06-12,14.81
2024-06-13,14.82
2024-06-14,14.43
2024-06-17,14.73
2024-06-18,14.7
2024-06-20,14.53
2024-06-21,14.57
2024-06-24,14.51
2024-06-25,14.47
2024-06-26,14.46
2024-06-27,14.63
2024-06-28,14.98
2024-07-01,14.75
2024-07-02,14.73
2024-07-03,14.59
2024-07-05,14.48
2024-07-08,14.44
2024-07-09,14.27
2024-07-10,14.31
2024-07-11,14.32
2024-07-12,14.62
2024-07-15,14.83
2024-07-16,15.08
2024-07-17,15.22
2024-07-18,14.74
2024-07-19,14.82
2024-07-22,15.01
2024-07-23,15.12
2024-07-24,14.46
2024-07-25,14.52
2024-07-26,14.93
2024-07-29,15.17
2024-07-30,15.13
2024-07-31,15.06
2024-08-01,14.75
2024-08-02,14.25
2024-08-05,13.64
2024-08-06,13.8
2024-08-07,13.63
2024-08-08,13.85
2024-08-09,14.05
2024-08-12,13.8
2024-08-13,13.92
2024-08-14,13.94
2024-08-15,14.3
2024-08-16,14.35
2024-08-19,14.64
2024-08-20,14.33
2024-08-21,14.82
2024-08-22,14.91
2024-08-23,15.15
2024-08-26,14.99
2024-08-27,14.86
2024-08-28,14.91
2024-08-29,15.1
2024-08-30,15.28
2024-09-03,14.71
