Date,QQQ
2023-09-05,375.48
2023-09-06,372.17
2023-09-07,369.51
2023-09-08,370.03
2023-09-11,374.39
2023-09-12,370.24
2023-09-13,371.65
2023-09-14,374.68
2023-09-15,368.27
2023-09-18,368.65
2023-09-19,367.87
2023-09-20,362.57
2023-09-21,355.92
2023-09-22,355.97
2023-09-25,357.66
2023-09-26,352.29
2023-09-27,353.12
2023-09-28,356.07
2023-09-29,356.33
2023-10-02,359.3
2023-10-03,353.0
2023-10-04,357.8
2023-10-05,356.75
2023-10-06,362.72
2023-10-09,364.57
2023-10-10,366.59
2023-10-11,369.21
2023-10-12,367.93
2023-10-13,363.3
2023-10-16,367.41
2023-10-17,366.21
2023-10-18,361.4
2023-10-19,358.02
2023-10-20,352.68
2023-10-23,353.74
2023-10-24,357.18
2023-10-25,348.44
2023-10-26,341.8
2023-10-27,343.44
2023-10-30,347.31
2023-10-31,348.97
2023-11-01,355.03
2023-11-02,361.47
2023-11-03,365.72
2023-11-06,367.21
2023-11-07,370.68
2023-11-08,370.92
2023-11-09,368.07
2023-11-10,376.34
2023-11-13,375.17
2023-11-14,383.24
2023-11-15,383.53
2023-11-16,383.86
2023-11-17,383.95
2023-11-20,388.62
2023-11-21,386.37
2023-11-22,387.95
2023-11-24,387.4
2023-11-27,387.06
2023-11-28,388.08
2023-11-29,387.7
2023-11-30,386.72
2023-12-01,387.83
2023-12-04,384.23
2023-12-05,385.19
2023-12-06,382.96
2023-12-07,388.32
2023-12-08,390.05
2023-12-11,393.38
2023-12-12,396.51
2023-12-13,401.55
2023-12-14,401.21
2023-12-15,403.14
2023-12-18,405.68
2023-12-19,407.76
2023-12-20,401.7
2023-12-21,406.37
2023-12-22,406.98
2023-12-26,409.47
2023-12-27,410.3
2023-12-28,410.11
2023-12-29,408.33
2024-01-02,401.42
2024-01-03,397.17
2024-01-04,395.13
2024-01-05,395.6
2024-01-08,403.77
2024-01-09,404.57
2024-01-10,407.31
2024-01-11,408.16
2024-01-12,408.37
2024-01-16,408.33
2024-01-17,406.03
2024-01-18,411.79
2024-01-19,419.96
2024-01-22,420.5
2024-01-23,422.25
2024-01-24,424.59
2024-01-25,425.11
2024-01-26,422.58
2024-01-29,426.91
2024-01-30,424.06
2024-01-31,415.76
2024-02-01,420.65
2024-02-02,427.76
2024-02-05,427.21
2024-02-06,426.35
2024-02-07,430.73
2024-02-08,431.53
2024-02-09,435.78
2024-02-12,434.08
2024-02-13,427.3
2024-02-14,431.96
2024-02-15,433.25
2024-02-16,429.32
2024-02-20,426.08
2024-02-21,424.37
2024-02-22,436.8
2024-02-23,435.51
2024-02-26,435.28
2024-02-27,436.33
2024-02-28,434.01
2024-02-29,437.72
2024-03-01,444.32
2024-03-04,442.73
2024-03-05,434.78
2024-03-06,437.52
2024-03-07,444.16
2024-03-08,437.74
2024-03-11,436.12
2024-03-12,442.37
2024-03-13,438.97
2024-03-14,437.86
2024-03-15,432.66
2024-03-18,436.79
2024-03-19,437.87
2024-03-20,443.07
2024-03-21,445.16
2024-03-22,445.67
2024-03-25,444.05
2024-03-26,442.62
2024-03-27,444.12
2024-03-28,443.31
2024-04-01,444.24
2024-04-02,440.41
2024-04-03,441.4
2024-04-04,434.65
2024-04-05,439.77
2024-04-08,439.9
2024-04-09,441.53
2024-04-10,437.67
2024-04-11,444.66
2024-04-12,437.57
2024-04-15,430.38
2024-04-16,430.42
2024-04-17,425.16
2024-04-18,422.74
2024-04-19,413.99
2024-04-22,418.16
2024-04-23,424.4
2024-04-24,425.83
2024-04-25,423.78
2024-04-26,430.32
2024-04-29,432.06
2024-04-30,423.92
2024-05-01,420.85
2024-05-02,426.22
2024-05-03,434.79
2024-05-06,439.55
2024-05-07,439.62
2024-05-08,439.36
2024-05-09,440.32
2024-05-10,441.36
2024-05-13,442.38
2024-05-14,445.22
2024-05-15,452.18
2024-05-16,451.26
2024-05-17,451.04
2024-05-20,454.19
2024-05-21,455.08
2024-05-22,454.99
2024-05-23,452.94
2024-05-24,457.22
2024-05-28,458.95
2024-05-29,455.72
2024-05-30,450.83
2024-05-31,449.99
2024-06-03,452.41
2024-06-04,453.65
2024-06-05,462.79
2024-06-06,462.63
2024-06-07,462.23
2024-06-10,464.09
2024-06-11,467.28
2024-06-12,473.4
2024-06-13,475.96
2024-06-14,478.43
2024-06-17,484.29
2024-06-18,484.44
2024-06-20,480.71
2024-06-21,479.42
2024-06-24,473.96
2024-06-25,479.38
2024-06-26,480.37
2024-06-27,481.61
2024-06-28,479.11
2024-07-01,481.92
2024-07-02,486.98
2024-07-03,491.04
2024-07-05,496.16
2024-07-08,497.34
2024-07-09,497.77
2024-07-10,502.96
2024-07-11,491.93
2024-07-12,494.82
2024-07-15,496.15
2024-07-16,496.34
2024-07-17,481.77
2024-07-18,479.49
2024-07-19,475.24
2024-07-22,482.32
2024-07-23,480.62
2024-07-24,463.38
2024-07-25,458.27
2024-07-26,462.97
2024-07-29,463.9
2024-07-30,457.53
2024-07-31,471.07
2024-08-01,459.66
2024-08-02,448.75
2024-08-05,435.37
2024-08-06,439.53
2024-08-07,434.77
2024-08-08,448.07
2024-08-09,450.41
2024-08-12,451.38
2024-08-13,462.58
2024-08-14,462.73
2024-08-15,474.42
2024-08-16,475.03
2024-08-19,481.27
2024-08-20,480.26
2024-08-21,482.5
2024-08-22,474.85
2024-08-23,480.0
2024-08-26,475.34
2024-08-27,476.76
2024-08-28,471.35
2024-08-29,470.66
2024-08-30,476.27
2024-09-03,461.81
