Date,SBUX
2023-09-05,94.44
2023-09-06,93.58
2023-09-07,92.75
2023-09-08,92.92
2023-09-11,93.3
2023-09-12,93.86
2023-09-13,94.53
2023-09-14,94.76
2023-09-15,93.85
2023-09-18,94.37
2023-09-19,92.93
2023-09-20,92.8
2023-09-21,90.8
2023-09-22,91.36
2023-09-25,90.44
2023-09-26,89.72
2023-09-27,88.91
2023-09-28,88.83
2023-09-29,89.01
2023-10-02,88.87
2023-10-03,87.27
2023-10-04,88.89
2023-10-05,90.08
2023-10-06,90.55
2023-10-09,90.39
2023-10-10,90.87
2023-10-11,89.67
2023-10-12,89.16
2023-10-13,89.22
2023-10-16,91.33
2023-10-17,91.85
2023-10-18,91.43
2023-10-19,92.08
2023-10-20,91.86
2023-10-23,91.87
2023-10-24,92.28
2023-10-25,91.67
2023-10-26,90.38
2023-10-27,89.74
2023-10-30,90.84
2023-10-31,89.96
2023-11-01,89.09
2023-11-02,97.53
2023-11-03,100.11
2023-11-06,101.46
2023-11-07,101.11
2023-11-08,101.72
2023-11-09,100.25
2023-11-10,102.31
2023-11-13,101.5
2023-11-14,103.55
2023-11-15,103.97
2023-11-16,105.13
2023-11-17,103.52
2023-11-20,102.28
2023-11-21,101.68
2023-11-22,101.43
2023-11-24,100.79
2023-11-27,100.38
2023-11-28,99.22
2023-11-29,97.91
2023-11-30,97.37
2023-12-01,97.28
2023-12-04,95.71
2023-12-05,93.69
2023-12-06,95.14
2023-12-07,94.57
2023-12-08,94.74
2023-12-11,96.22
2023-12-12,96.25
2023-12-13,96.21
2023-12-14,95.94
2023-12-15,94.87
2023-12-18,94.69
2023-12-19,95.83
2023-12-20,92.87
2023-12-21,93.48
2023-12-22,93.43
2023-12-26,93.81
2023-12-27,93.44
2023-12-28,94.07
2023-12-29,94.15
2024-01-02,91.85
2024-01-03,91.42
2024-01-04,91.74
2024-01-05,91.19
2024-01-08,92.36
2024-01-09,91.28
2024-01-10,91.69
2024-01-11,91.14
2024-01-12,90.2
2024-01-16,90.9
2024-01-17,89.99
2024-01-18,91.53
2024-01-19,92.04
2024-01-22,91.27
2024-01-23,90.19
2024-01-24,90.26
2024-01-25,90.81
2024-01-26,91.0
2024-01-29,91.98
2024-01-30,92.26
2024-01-31,91.23
2024-02-01,91.56
2024-02-02,91.19
2024-02-05,90.72
2024-02-06,93.81
2024-02-07,93.46
2024-02-08,95.29
2024-02-09,95.99
2024-02-12,94.18
2024-02-13,92.6
2024-02-14,92.8
2024-02-15,91.96
2024-02-16,91.96
2024-02-20,92.2
2024-02-21,93.74
2024-02-22,94.49
2024-02-23,94.33
2024-02-26,93.01
2024-02-27,92.86
2024-02-28,91.75
2024-02-29,93.62
2024-03-01,91.9
2024-03-04,91.21
2024-03-05,89.99
2024-03-06,90.41
2024-03-07,89.72
2024-03-08,89.83
2024-03-11,90.83
2024-03-12,91.15
2024-03-13,90.37
2024-03-14,90.42
2024-03-15,88.9
2024-03-18,89.78
2024-03-19,90.35
2024-03-20,91.35
2024-03-21,90.42
2024-03-22,89.49
2024-03-25,89.45
2024-03-26,89.14
2024-03-27,90.27
2024-03-28,90.16
2024-04-01,90.3
2024-04-02,88.1
2024-04-03,87.5
2024-04-04,86.44
2024-04-05,85.68
2024-04-08,86.01
2024-04-09,85.95
2024-04-10,84.79
2024-04-11,84.74
2024-04-12,83.77
2024-04-15,84.02
2024-04-16,84.27
2024-04-17,85.05
2024-04-18,85.97
2024-04-19,86.43
2024-04-22,86.99
2024-04-23,86.68
2024-04-24,87.55
2024-04-25,86.65
2024-04-26,87.06
2024-04-29,87.14
2024-04-30,87.3
2024-05-01,73.44
2024-05-02,73.92
2024-05-03,72.12
2024-05-06,71.92
2024-05-07,71.52
2024-05-08,72.51
2024-05-09,74.66
2024-05-10,75.08
2024-05-13,75.15
2024-05-14,74.61
2024-05-15,74.68
2024-05-16,74.83
2024-05-17,77.38
2024-05-20,77.07
2024-05-21,77.25
2024-05-22,80.24
2024-05-23,77.84
2024-05-24,78.4
2024-05-28,77.01
2024-05-29,76.42
2024-05-30,78.29
2024-05-31,79.74
2024-06-03,81.59
2024-06-04,82.29
2024-06-05,80.67
2024-06-06,80.98
2024-06-07,80.94
2024-06-10,81.11
2024-06-11,79.41
2024-06-12,78.9
2024-06-13,79.76
2024-06-14,79.17
2024-06-17,80.84
2024-06-18,79.72
2024-06-20,79.24
2024-06-21,79.43
2024-06-24,79.25
2024-06-25,78.8
2024-06-26,78.67
2024-06-27,78.76
2024-06-28,77.38
2024-07-01,76.67
2024-07-02,76.37
2024-07-03,75.8
2024-07-05,75.59
2024-07-08,74.12
2024-07-09,72.31
2024-07-10,72.07
2024-07-11,72.86
2024-07-12,74.38
2024-07-15,72.31
2024-07-16,75.06
2024-07-17,74.65
2024-07-18,73.74
2024-07-19,78.79
2024-07-22,76.09
2024-07-23,75.8
2024-07-24,74.23
2024-07-25,72.88
2024-07-26,73.61
2024-07-29,74.75
2024-07-30,75.48
2024-07-31,77.48
2024-08-01,74.66
2024-08-02,75.42
2024-08-05,73.42
2024-08-06,74.92
2024-08-07,74.84
2024-08-08,75.29
2024-08-09,74.64
2024-08-12,76.57
2024-08-13,95.32
2024-08-14,93.34
2024-08-15,94.31
2024-08-16,94.81
2024-08-19,92.3
2024-08-20,93.01
2024-08-21,92.78
2024-08-22,92.43
2024-08-23,94.02
2024-08-26,95.63
2024-08-27,98.6
2024-08-28,95.3
2024-08-29,94.86
2024-08-30,94.57
2024-09-03,93.18
