Date,SCHD
2023-09-05,71.29
2023-09-06,70.73
2023-09-07,70.68
2023-09-08,70.96
2023-09-11,71.07
2023-09-12,71.05
2023-09-13,70.84
2023-09-14,71.61
2023-09-15,70.92
2023-09-18,70.91
2023-09-19,70.73
2023-09-20,70.44
2023-09-21,69.42
2023-09-22,69.29
2023-09-25,69.47
2023-09-26,68.64
2023-09-27,68.65
2023-09-28,69.01
2023-09-29,68.77
2023-10-02,68.21
2023-10-03,67.47
2023-10-04,67.5
2023-10-05,67.26
2023-10-06,67.67
2023-10-09,68.42
2023-10-10,68.76
2023-10-11,68.87
2023-10-12,68.49
2023-10-13,68.34
2023-10-16,69.15
2023-10-17,69.42
2023-10-18,68.63
2023-10-19,68.01
2023-10-20,67.34
2023-10-23,66.82
2023-10-24,67.33
2023-10-25,66.61
2023-10-26,66.26
2023-10-27,65.02
2023-10-30,65.79
2023-10-31,66.15
2023-11-01,66.23
2023-11-02,67.71
2023-11-03,68.28
2023-11-06,67.97
2023-11-07,67.74
2023-11-08,67.61
2023-11-09,66.84
2023-11-10,67.49
2023-11-13,67.32
2023-11-14,68.81
2023-11-15,69.33
2023-11-16,68.78
2023-11-17,69.14
2023-11-20,69.48
2023-11-21,69.3
2023-11-22,69.52
2023-11-24,69.78
2023-11-27,69.43
2023-11-28,69.53
2023-11-29,69.81
2023-11-30,70.32
2023-12-01,71.09
2023-12-04,71.38
2023-12-05,70.96
2023-12-06,70.82
2023-12-07,71.09
2023-12-08,71.21
2023-12-11,71.89
2023-12-12,71.93
2023-12-13,73.12
2023-12-14,74.32
2023-12-15,74.08
2023-12-18,74.18
2023-12-19,74.59
2023-12-20,73.47
2023-12-21,74.02
2023-12-22,74.47
2023-12-26,74.84
2023-12-27,74.9
2023-12-28,74.94
2023-12-29,74.75
2024-01-02,75.3
2024-01-03,74.83
2024-01-04,74.74
2024-01-05,74.99
2024-01-08,75.43
2024-01-09,75.02
2024-01-10,74.99
2024-01-11,74.68
2024-01-12,74.89
2024-01-16,74.34
2024-01-17,73.89
2024-01-18,74.33
2024-01-19,75.2
2024-01-22,75.53
2024-01-23,75.54
2024-01-24,75.01
2024-01-25,75.67
2024-01-26,75.62
2024-01-29,75.93
2024-01-30,75.79
2024-01-31,74.86
2024-02-01,75.64
2024-02-02,75.6
2024-02-05,75.0
2024-02-06,75.36
2024-02-07,75.48
2024-02-08,75.67
2024-02-09,75.4
2024-02-12,75.86
2024-02-13,74.7
2024-02-14,75.0
2024-02-15,75.84
2024-02-16,75.58
2024-02-20,75.57
2024-02-21,75.88
2024-02-22,76.39
2024-02-23,76.48
2024-02-26,76.07
2024-02-27,76.13
2024-02-28,76.03
2024-02-29,76.23
2024-03-01,76.73
2024-03-04,76.97
2024-03-05,76.7
2024-03-06,76.96
2024-03-07,77.33
2024-03-08,77.01
2024-03-11,77.45
2024-03-12,77.59
2024-03-13,77.82
2024-03-14,77.4
2024-03-15,77.14
2024-03-18,77.29
2024-03-19,77.64
2024-03-20,78.41
2024-03-21,79.03
2024-03-22,78.55
2024-03-25,78.57
2024-03-26,78.04
2024-03-27,79.39
2024-03-28,79.78
2024-04-01,79.3
2024-04-02,78.89
2024-04-03,78.7
2024-04-04,77.9
2024-04-05,78.18
2024-04-08,78.27
2024-04-09,78.72
2024-04-10,77.31
2024-04-11,77.11
2024-04-12,76.0
2024-04-15,75.62
2024-04-16,75.13
2024-04-17,75.02
2024-04-18,75.02
2024-04-19,75.85
2024-04-22,76.43
2024-04-23,76.95
2024-04-24,77.31
2024-04-25,76.75
2024-04-26,76.67
2024-04-29,77.1
2024-04-30,76.18
2024-05-01,76.08
2024-05-02,76.46
2024-05-03,77.15
2024-05-06,77.31
2024-05-07,77.43
2024-05-08,77.69
2024-05-09,78.33
2024-05-10,78.47
2024-05-13,78.73
2024-05-14,78.85
2024-05-15,79.31
2024-05-16,79.16
2024-05-17,79.24
2024-05-20,78.84
2024-05-21,78.63
2024-05-22,78.37
2024-05-23,77.16
2024-05-24,77.28
2024-05-28,76.63
2024-05-29,75.62
2024-05-30,76.34
2024-05-31,77.75
2024-06-03,77.32
2024-06-04,77.36
2024-06-05,77.33
2024-06-06,77.26
2024-06-07,77.07
2024-06-10,76.95
2024-06-11,76.69
2024-06-12,76.63
2024-06-13,76.3
2024-06-14,75.98
2024-06-17,76.49
2024-06-18,76.83
2024-06-20,77.24
2024-06-21,77.3
2024-06-24,78.38
2024-06-25,77.76
2024-06-26,77.43
2024-06-27,77.27
2024-06-28,77.76
2024-07-01,77.41
2024-07-02,77.45
2024-07-03,77.18
2024-07-05,77.02
2024-07-08,77.09
2024-07-09,77.11
2024-07-10,77.87
2024-07-11,78.82
2024-07-12,79.64
2024-07-15,79.93
2024-07-16,81.26
2024-07-17,82.32
2024-07-18,81.61
2024-07-19,81.11
2024-07-22,81.18
2024-07-23,80.48
2024-07-24,80.7
2024-07-25,81.18
2024-07-26,82.47
2024-07-29,82.15
2024-07-30,82.8
2024-07-31,82.58
2024-08-01,81.76
2024-08-02,80.8
2024-08-05,78.98
2024-08-06,79.38
2024-08-07,78.89
2024-08-08,80.22
2024-08-09,80.17
2024-08-12,79.79
2024-08-13,80.64
2024-08-14,80.74
2024-08-15,81.59
2024-08-16,81.96
2024-08-19,82.44
2024-08-20,82.22
2024-08-21,82.57
2024-08-22,82.34
2024-08-23,83.52
2024-08-26,83.62
2024-08-27,83.48
2024-08-28,83.5
2024-08-29,83.86
2024-08-30,84.53
2024-09-03,83.78
