Date,SPY
2023-09-05,443.04
2023-09-06,440.06
2023-09-07,438.71
2023-09-08,439.37
2023-09-11,442.26
2023-09-12,439.84
2023-09-13,440.35
2023-09-14,444.15
2023-09-15,438.8
2023-09-18,439.05
2023-09-19,438.14
2023-09-20,434.12
2023-09-21,426.94
2023-09-22,425.98
2023-09-25,427.77
2023-09-26,421.49
2023-09-27,421.65
2023-09-28,424.1
2023-09-29,423.07
2023-10-02,422.9
2023-10-03,417.24
2023-10-04,420.28
2023-10-05,420.12
2023-10-06,425.11
2023-10-09,427.83
2023-10-10,430.06
2023-10-11,431.82
2023-10-12,429.19
2023-10-13,427.05
2023-10-16,431.54
2023-10-17,431.52
2023-10-18,425.77
2023-10-19,422.03
2023-10-20,416.85
2023-10-23,416.12
2023-10-24,419.26
2023-10-25,413.24
2023-10-26,408.29
2023-10-27,406.44
2023-10-30,411.3
2023-10-31,413.89
2023-11-01,418.3
2023-11-02,426.32
2023-11-03,430.21
2023-11-06,431.2
2023-11-07,432.42
2023-11-08,432.74
2023-11-09,429.36
2023-11-10,436.06
2023-11-13,435.65
2023-11-14,444.1
2023-11-15,445.04
2023-11-16,445.59
2023-11-17,446.14
2023-11-20,449.57
2023-11-21,448.59
2023-11-22,450.33
2023-11-24,450.6
2023-11-27,449.79
2023-11-28,450.24
2023-11-29,449.92
2023-11-30,451.69
2023-12-01,454.36
2023-12-04,451.98
2023-12-05,451.89
2023-12-06,450.07
2023-12-07,453.5
2023-12-08,455.45
2023-12-11,457.22
2023-12-12,459.31
2023-12-13,465.65
2023-12-14,467.14
2023-12-15,466.37
2023-12-18,469.0
2023-12-19,471.85
2023-12-20,465.31
2023-12-21,469.72
2023-12-22,470.66
2023-12-26,472.65
2023-12-27,473.51
2023-12-28,473.69
2023-12-29,472.31
2024-01-02,469.67
2024-01-03,465.84
2024-01-04,464.33
2024-01-05,464.97
2024-01-08,471.61
2024-01-09,470.89
2024-01-10,473.56
2024-01-11,473.35
2024-01-12,473.68
2024-01-16,471.94
2024-01-17,469.31
2024-01-18,473.49
2024-01-19,479.39
2024-01-22,480.4
2024-01-23,481.8
2024-01-24,482.33
2024-01-25,484.95
2024-01-26,484.34
2024-01-29,488.17
2024-01-30,487.8
2024-01-31,479.84
2024-02-01,486.12
2024-02-02,491.23
2024-02-05,489.45
2024-02-06,490.87
2024-02-07,494.96
2024-02-08,495.18
2024-02-09,498.04
2024-02-12,497.82
2024-02-13,490.97
2024-02-14,495.43
2024-02-15,498.85
2024-02-16,496.36
2024-02-20,493.63
2024-02-21,494.08
2024-02-22,504.3
2024-02-23,504.65
2024-02-26,502.8
2024-02-27,503.73
2024-02-28,503.07
2024-02-29,504.88
2024-03-01,509.62
2024-03-04,509.07
2024-03-05,503.98
2024-03-06,506.54
2024-03-07,511.57
2024-03-08,508.49
2024-03-11,508.06
2024-03-12,513.52
2024-03-13,512.72
2024-03-14,511.7
2024-03-15,508.19
2024-03-18,511.21
2024-03-19,514.05
2024-03-20,518.81
2024-03-21,520.52
2024-03-22,519.53
2024-03-25,518.1
2024-03-26,517.14
2024-03-27,521.49
2024-03-28,521.39
2024-04-01,520.48
2024-04-02,517.17
2024-04-03,517.74
2024-04-04,511.42
2024-04-05,516.76
2024-04-08,517.05
2024-04-09,517.65
2024-04-10,512.47
2024-04-11,516.33
2024-04-12,509.21
2024-04-15,502.83
2024-04-16,501.91
2024-04-17,498.94
2024-04-18,497.91
2024-04-19,493.57
2024-04-22,498.11
2024-04-23,504.02
2024-04-24,503.78
2024-04-25,501.87
2024-04-26,506.63
2024-04-29,508.42
2024-04-30,500.37
2024-05-01,498.74
2024-05-02,503.41
2024-05-03,509.65
2024-05-06,514.91
2024-05-07,515.48
2024-05-08,515.53
2024-05-09,518.5
2024-05-10,519.17
2024-05-13,519.23
2024-05-14,521.62
2024-05-15,528.08
2024-05-16,526.99
2024-05-17,527.75
2024-05-20,528.36
2024-05-21,529.65
2024-05-22,528.13
2024-05-23,524.27
2024-05-24,527.74
2024-05-28,528.11
2024-05-29,524.41
2024-05-30,520.93
2024-05-31,525.67
2024-06-03,526.1
2024-06-04,526.69
2024-06-05,532.95
2024-06-06,532.94
2024-06-07,532.29
2024-06-10,533.94
2024-06-11,535.22
2024-06-12,539.62
2024-06-13,540.71
2024-06-14,541.03
2024-06-17,545.34
2024-06-18,546.73
2024-06-20,545.24
2024-06-21,544.51
2024-06-24,542.74
2024-06-25,544.83
2024-06-26,545.51
2024-06-27,546.37
2024-06-28,544.22
2024-07-01,545.34
2024-07-02,549.01
2024-07-03,551.46
2024-07-05,554.64
2024-07-08,555.28
2024-07-09,555.82
2024-07-10,561.32
2024-07-11,556.48
2024-07-12,559.99
2024-07-15,561.53
2024-07-16,564.86
2024-07-17,556.94
2024-07-18,552.66
2024-07-19,548.99
2024-07-22,554.65
2024-07-23,553.78
2024-07-24,541.23
2024-07-25,538.41
2024-07-26,544.44
2024-07-29,544.76
2024-07-30,542.0
2024-07-31,550.81
2024-08-01,543.01
2024-08-02,532.9
2024-08-05,517.38
2024-08-06,522.15
2024-08-07,518.66
2024-08-08,530.65
2024-08-09,532.99
2024-08-12,533.27
2024-08-13,542.04
2024-08-14,543.75
2024-08-15,553.07
2024-08-16,554.31
2024-08-19,559.61
2024-08-20,558.7
2024-08-21,560.62
2024-08-22,556.22
2024-08-23,562.13
2024-08-26,560.79
2024-08-27,561.56
2024-08-28,558.3
2024-08-29,558.35
2024-08-30,563.68
2024-09-03,552.08
