Date,TSM
2023-09-05,93.0
2023-09-06,90.7
2023-09-07,88.52
2023-09-08,88.12
2023-09-11,88.08
2023-09-12,88.95
2023-09-13,89.68
2023-09-14,90.39
2023-09-15,88.19
2023-09-18,87.78
2023-09-19,87.13
2023-09-20,86.26
2023-09-21,84.35
2023-09-22,84.63
2023-09-25,85.22
2023-09-26,83.29
2023-09-27,84.43
2023-09-28,85.39
2023-09-29,85.87
2023-10-02,86.61
2023-10-03,84.4
2023-10-04,85.64
2023-10-05,86.0
2023-10-06,88.23
2023-10-09,87.94
2023-10-10,89.54
2023-10-11,90.91
2023-10-12,91.33
2023-10-13,89.39
2023-10-16,90.14
2023-10-17,89.92
2023-10-18,88.54
2023-10-19,91.81
2023-10-20,90.23
2023-10-23,90.03
2023-10-24,90.56
2023-10-25,86.6
2023-10-26,86.42
2023-10-27,84.97
2023-10-30,85.04
2023-10-31,85.29
2023-11-01,86.76
2023-11-02,89.41
2023-11-03,90.7
2023-11-06,91.5
2023-11-07,91.32
2023-11-08,90.91
2023-11-09,90.54
2023-11-10,96.29
2023-11-13,95.28
2023-11-14,97.74
2023-11-15,97.63
2023-11-16,97.37
2023-11-17,98.4
2023-11-20,98.78
2023-11-21,97.25
2023-11-22,97.48
2023-11-24,96.67
2023-11-27,96.06
2023-11-28,96.82
2023-11-29,97.71
2023-11-30,96.16
2023-12-01,97.38
2023-12-04,95.86
2023-12-05,95.55
2023-12-06,96.69
2023-12-07,98.12
2023-12-08,99.16
2023-12-11,99.76
2023-12-12,100.4
2023-12-13,100.91
2023-12-14,102.71
2023-12-15,101.8
2023-12-18,102.19
2023-12-19,103.12
2023-12-20,99.32
2023-12-21,101.81
2023-12-22,102.41
2023-12-26,103.7
2023-12-27,103.9
2023-12-28,103.95
2023-12-29,103.25
2024-01-02,100.8
2024-01-03,99.45
2024-01-04,98.42
2024-01-05,98.9
2024-01-08,101.51
2024-01-09,101.16
2024-01-10,100.08
2024-01-11,100.49
2024-01-12,100.51
2024-01-16,100.94
2024-01-17,102.21
2024-01-18,112.22
2024-01-19,113.38
2024-01-22,112.22
2024-01-23,113.31
2024-01-24,115.68
2024-01-25,115.72
2024-01-26,116.42
2024-01-29,116.14
2024-01-30,115.23
2024-01-31,112.15
2024-02-01,112.58
2024-02-02,114.92
2024-02-05,117.94
2024-02-06,118.52
2024-02-07,124.08
2024-02-08,132.77
2024-02-09,132.15
2024-02-12,129.52
2024-02-13,126.63
2024-02-14,128.34
2024-02-15,128.1
2024-02-16,125.78
2024-02-20,124.43
2024-02-21,124.44
2024-02-22,128.14
2024-02-23,128.6
2024-02-26,129.7
2024-02-27,127.67
2024-02-28,126.47
2024-02-29,127.75
2024-03-01,132.94
2024-03-04,137.27
2024-03-05,134.0
2024-03-06,140.55
2024-03-07,148.13
2024-03-08,145.32
2024-03-11,138.02
2024-03-12,143.36
2024-03-13,141.12
2024-03-14,138.62
2024-03-15,136.0
2024-03-18,136.21
2024-03-19,134.45
2024-03-20,136.32
2024-03-21,139.01
2024-03-22,140.1
2024-03-25,139.79
2024-03-26,138.4
2024-03-27,136.26
2024-03-28,135.62
2024-04-01,141.05
2024-04-02,139.78
2024-04-03,141.55
2024-04-04,139.22
2024-04-05,140.92
2024-04-08,142.34
2024-04-09,144.94
2024-04-10,145.76
2024-04-11,146.74
2024-04-12,142.07
2024-04-15,139.7
2024-04-16,139.36
2024-04-17,138.59
2024-04-18,131.85
2024-04-19,127.3
2024-04-22,129.34
2024-04-23,133.01
2024-04-24,132.55
2024-04-25,136.15
2024-04-26,137.87
2024-04-29,138.06
2024-04-30,136.91
2024-05-01,134.52
2024-05-02,135.8
2024-05-03,141.11
2024-05-06,142.38
2024-05-07,140.67
2024-05-08,143.15
2024-05-09,142.34
2024-05-10,148.79
2024-05-13,145.95
2024-05-14,151.47
2024-05-15,155.09
2024-05-16,151.75
2024-05-17,151.2
2024-05-20,153.07
2024-05-21,153.19
2024-05-22,155.66
2024-05-23,156.6
2024-05-24,159.5
2024-05-28,158.91
2024-05-29,153.85
2024-05-30,152.48
2024-05-31,150.56
2024-06-03,154.46
2024-06-04,151.99
2024-06-05,162.41
2024-06-06,161.56
2024-06-07,163.87
2024-06-10,167.63
2024-06-11,165.19
2024-06-12,172.44
2024-06-13,172.91
2024-06-14,172.51
2024-06-17,177.24
2024-06-18,179.69
2024-06-20,175.38
2024-06-21,173.96
2024-06-24,167.81
2024-06-25,172.6
2024-06-26,172.07
2024-06-27,171.63
2024-06-28,173.81
2024-07-01,172.33
2024-07-02,175.7
2024-07-03,182.49
2024-07-05,183.99
2024-07-08,186.63
2024-07-09,184.52
2024-07-10,191.05
2024-07-11,184.5
2024-07-12,187.35
2024-07-15,185.22
2024-07-16,186.04
2024-07-17,171.2
2024-07-18,171.87
2024-07-19,165.77
2024-07-22,169.35
2024-07-23,169.82
2024-07-24,159.8
2024-07-25,160.28
2024-07-26,161.94
2024-07-29,160.01
2024-07-30,154.54
2024-07-31,165.8
2024-08-01,158.18
2024-08-02,149.86
2024-08-05,147.95
2024-08-06,155.39
2024-08-07,155.04
2024-08-08,164.55
2024-08-09,167.12
2024-08-12,167.63
2024-08-13,172.34
2024-08-14,169.97
2024-08-15,173.96
2024-08-16,174.54
2024-08-19,175.45
2024-08-20,172.04
2024-08-21,171.44
2024-08-22,166.44
2024-08-23,171.28
2024-08-26,169.07
2024-08-27,170.55
2024-08-28,169.2
2024-08-29,169.15
2024-08-30,171.7
2024-09-03,160.49
