Date,TUI1.DE
2023-09-05,5.4
2023-09-06,5.36
2023-09-07,5.42
2023-09-08,5.41
2023-09-11,5.56
2023-09-12,5.63
2023-09-13,5.53
2023-09-14,5.58
2023-09-15,5.59
2023-09-18,5.4
2023-09-19,5.57
2023-09-20,5.75
2023-09-21,5.67
2023-09-22,5.55
2023-09-25,5.21
2023-09-26,5.01
2023-09-27,5.18
2023-09-28,5.25
2023-09-29,5.22
2023-10-02,5.19
2023-10-03,4.97
2023-10-04,4.97
2023-10-05,5.04
2023-10-06,5.07
2023-10-09,4.74
2023-10-10,5.06
2023-10-11,5.03
2023-10-12,4.92
2023-10-13,4.83
2023-10-16,4.99
2023-10-17,5.17
2023-10-18,4.89
2023-10-19,4.88
2023-10-20,4.72
2023-10-23,4.63
2023-10-24,4.83
2023-10-25,4.61
2023-10-26,4.67
2023-10-27,4.7
2023-10-30,4.79
2023-10-31,4.75
2023-11-01,4.75
2023-11-02,4.94
2023-11-03,5.15
2023-11-06,5.11
2023-11-07,5.16
2023-11-08,5.19
2023-11-09,5.23
2023-11-10,5.06
2023-11-13,5.17
2023-11-14,5.39
2023-11-15,5.59
2023-11-16,5.55
2023-11-17,5.69
2023-11-20,5.84
2023-11-21,5.77
2023-11-22,5.76
2023-11-23,5.64
2023-11-24,5.67
2023-11-27,5.65
2023-11-28,5.64
2023-11-29,5.68
2023-11-30,5.57
2023-12-01,5.68
2023-12-04,5.84
2023-12-05,5.95
2023-12-06,6.86
2023-12-07,7.13
2023-12-08,7.28
2023-12-11,7.06
2023-12-12,7.28
2023-12-13,6.98
2023-12-14,7.2
2023-12-15,7.09
2023-12-18,7.01
2023-12-19,7.12
2023-12-20,7.13
2023-12-21,7.12
2023-12-22,7.1
2023-12-27,7.12
2023-12-28,7.14
2023-12-29,7.06
2024-01-02,7.17
2024-01-03,7.03
2024-01-04,7.0
2024-01-05,6.83
2024-01-08,6.87
2024-01-09,6.84
2024-01-10,6.74
2024-01-11,6.66
2024-01-12,6.45
2024-01-15,6.43
2024-01-16,6.16
2024-01-17,6.15
2024-01-18,6.39
2024-01-19,6.34
2024-01-22,6.4
2024-01-23,6.36
2024-01-24,6.54
2024-01-25,6.68
2024-01-26,6.65
2024-01-29,6.51
2024-01-30,6.47
2024-01-31,6.44
2024-02-01,6.17
2024-02-02,6.15
2024-02-05,6.14
2024-02-06,6.37
2024-02-07,6.32
2024-02-08,6.4
2024-02-09,6.45
2024-02-12,6.83
2024-02-13,6.83
2024-02-14,6.36
2024-02-15,6.26
2024-02-16,6.5
2024-02-19,6.45
2024-02-20,6.5
2024-02-21,6.62
2024-02-22,6.87
2024-02-23,6.6
2024-02-26,6.55
2024-02-27,6.64
2024-02-28,6.54
2024-02-29,6.47
2024-03-01,6.42
2024-03-04,6.29
2024-03-05,6.12
2024-03-06,6.67
2024-03-07,6.77
2024-03-08,6.7
2024-03-11,6.72
2024-03-12,6.72
2024-03-13,6.67
2024-03-14,6.66
2024-03-15,6.63
2024-03-18,6.56
2024-03-19,6.58
2024-03-20,6.72
2024-03-21,6.8
2024-03-22,6.88
2024-03-25,7.16
2024-03-26,7.49
2024-03-27,7.55
2024-03-28,7.64
2024-04-02,7.4
2024-04-03,7.48
2024-04-04,7.74
2024-04-05,7.59
2024-04-08,7.86
2024-04-09,7.89
2024-04-10,7.91
2024-04-11,7.51
2024-04-12,7.35
2024-04-15,7.2
2024-04-16,6.69
2024-04-17,6.57
2024-04-18,6.72
2024-04-19,6.68
2024-04-22,6.83
2024-04-23,6.9
2024-04-24,6.72
2024-04-25,6.71
2024-04-26,6.75
2024-04-29,6.82
2024-04-30,6.64
2024-05-02,6.62
2024-05-03,6.64
2024-05-06,6.73
2024-05-07,6.69
2024-05-08,6.65
2024-05-09,6.65
2024-05-10,6.75
2024-05-13,6.92
2024-05-14,7.0
2024-05-15,6.9
2024-05-16,6.71
2024-05-17,6.53
2024-05-20,6.49
2024-05-21,6.34
2024-05-22,6.39
2024-05-23,6.32
2024-05-24,6.48
2024-05-27,6.54
2024-05-28,6.7
2024-05-29,6.49
2024-05-30,6.46
2024-05-31,6.34
2024-06-03,6.8
2024-06-04,6.91
2024-06-05,7.29
2024-06-06,7.11
2024-06-07,6.99
2024-06-10,7.1
2024-06-11,7.03
2024-06-12,7.19
2024-06-13,7.01
2024-06-14,6.77
2024-06-17,6.96
2024-06-18,6.96
2024-06-19,6.85
2024-06-20,6.87
2024-06-21,6.76
2024-06-24,6.86
2024-06-25,6.92
2024-06-26,6.54
2024-06-27,6.65
2024-06-28,6.6
2024-07-01,6.62
2024-07-02,6.43
2024-07-03,6.52
2024-07-04,6.47
2024-07-05,6.52
2024-07-08,6.74
2024-07-09,6.58
2024-07-10,6.64
2024-07-11,6.73
2024-07-12,6.73
2024-07-15,6.79
2024-07-16,6.92
2024-07-17,7.15
2024-07-18,6.75
2024-07-19,6.55
2024-07-22,6.27
2024-07-23,5.95
2024-07-24,6.01
2024-07-25,6.0
2024-07-26,6.08
2024-07-29,6.05
2024-07-30,6.08
2024-07-31,5.97
2024-08-01,5.8
2024-08-02,5.56
2024-08-05,5.36
2024-08-06,5.32
2024-08-07,5.35
2024-08-08,5.31
2024-08-09,5.37
2024-08-12,5.35
2024-08-13,5.54
2024-08-14,5.6
2024-08-15,5.66
2024-08-16,5.78
2024-08-19,5.82
2024-08-20,5.79
2024-08-21,5.71
2024-08-22,5.75
2024-08-23,5.85
2024-08-26,5.89
2024-08-27,6.18
2024-08-28,6.1
2024-08-29,6.15
2024-08-30,5.96
2024-09-02,5.97
2024-09-03,5.95
