Date,UPST
2023-09-05,33.5
2023-09-06,32.61
2023-09-07,31.78
2023-09-08,30.57
2023-09-11,30.16
2023-09-12,31.34
2023-09-13,30.26
2023-09-14,30.05
2023-09-15,29.64
2023-09-18,28.93
2023-09-19,28.53
2023-09-20,27.84
2023-09-21,27.09
2023-09-22,26.55
2023-09-25,26.87
2023-09-26,26.74
2023-09-27,26.93
2023-09-28,27.59
2023-09-29,28.54
2023-10-02,27.56
2023-10-03,26.16
2023-10-04,26.86
2023-10-05,26.83
2023-10-06,27.55
2023-10-09,28.44
2023-10-10,29.41
2023-10-11,29.01
2023-10-12,27.74
2023-10-13,27.13
2023-10-16,28.97
2023-10-17,29.17
2023-10-18,26.8
2023-10-19,26.68
2023-10-20,24.69
2023-10-23,24.37
2023-10-24,24.58
2023-10-25,23.01
2023-10-26,23.14
2023-10-27,23.03
2023-10-30,23.32
2023-10-31,24.03
2023-11-01,24.59
2023-11-02,27.43
2023-11-03,30.32
2023-11-06,29.3
2023-11-07,29.41
2023-11-08,21.38
2023-11-09,21.12
2023-11-10,20.87
2023-11-13,21.84
2023-11-14,25.43
2023-11-15,26.0
2023-11-16,24.27
2023-11-17,25.58
2023-11-20,25.99
2023-11-21,23.78
2023-11-22,23.48
2023-11-24,23.73
2023-11-27,24.34
2023-11-28,26.17
2023-11-29,26.54
2023-11-30,26.76
2023-12-01,32.37
2023-12-04,34.29
2023-12-05,33.04
2023-12-06,34.16
2023-12-07,33.87
2023-12-08,36.92
2023-12-11,35.65
2023-12-12,35.5
2023-12-13,42.71
2023-12-14,45.24
2023-12-15,44.52
2023-12-18,45.82
2023-12-19,47.31
2023-12-20,43.63
2023-12-21,45.15
2023-12-22,44.16
2023-12-26,44.98
2023-12-27,46.92
2023-12-28,44.16
2023-12-29,40.86
2024-01-02,38.8
2024-01-03,34.81
2024-01-04,33.95
2024-01-05,33.24
2024-01-08,35.54
2024-01-09,34.86
2024-01-10,35.57
2024-01-11,33.23
2024-01-12,31.95
2024-01-16,30.45
2024-01-17,31.06
2024-01-18,31.14
2024-01-19,32.69
2024-01-22,36.04
2024-01-23,35.08
2024-01-24,33.67
2024-01-25,33.23
2024-01-26,32.62
2024-01-29,35.62
2024-01-30,33.57
2024-01-31,31.76
2024-02-01,32.3
2024-02-02,32.7
2024-02-05,31.99
2024-02-06,33.3
2024-02-07,32.42
2024-02-08,34.31
2024-02-09,33.9
2024-02-12,35.47
2024-02-13,32.92
2024-02-14,26.46
2024-02-15,27.11
2024-02-16,26.19
2024-02-20,25.54
2024-02-21,24.51
2024-02-22,24.47
2024-02-23,24.24
2024-02-26,25.37
2024-02-27,26.22
2024-02-28,25.52
2024-02-29,25.75
2024-03-01,26.32
2024-03-04,25.43
2024-03-05,24.41
2024-03-06,25.99
2024-03-07,26.36
2024-03-08,27.34
2024-03-11,26.27
2024-03-12,25.3
2024-03-13,25.15
2024-03-14,23.25
2024-03-15,23.63
2024-03-18,24.14
2024-03-19,24.18
2024-03-20,26.56
2024-03-21,26.34
2024-03-22,26.0
2024-03-25,26.11
2024-03-26,26.58
2024-03-27,28.17
2024-03-28,26.89
2024-04-01,26.43
2024-04-02,25.74
2024-04-03,26.29
2024-04-04,25.1
2024-04-05,24.66
2024-04-08,25.29
2024-04-09,26.27
2024-04-10,24.43
2024-04-11,24.75
2024-04-12,23.82
2024-04-15,21.94
2024-04-16,22.54
2024-04-17,22.44
2024-04-18,22.31
2024-04-19,21.87
2024-04-22,22.08
2024-04-23,22.94
2024-04-24,23.12
2024-04-25,22.83
2024-04-26,23.46
2024-04-29,23.04
2024-04-30,22.13
2024-05-01,22.87
2024-05-02,23.51
2024-05-03,24.15
2024-05-06,25.75
2024-05-07,24.47
2024-05-08,23.11
2024-05-09,26.17
2024-05-10,25.4
2024-05-13,27.43
2024-05-14,28.59
2024-05-15,28.11
2024-05-16,25.61
2024-05-17,25.41
2024-05-20,25.56
2024-05-21,24.7
2024-05-22,24.33
2024-05-23,23.16
2024-05-24,23.35
2024-05-28,23.51
2024-05-29,23.32
2024-05-30,24.28
2024-05-31,24.72
2024-06-03,24.12
2024-06-04,24.51
2024-06-05,26.43
2024-06-06,26.87
2024-06-07,24.59
2024-06-10,23.82
2024-06-11,24.32
2024-06-12,24.98
2024-06-13,23.07
2024-06-14,22.39
2024-06-17,22.39
2024-06-18,22.22
2024-06-20,21.88
2024-06-21,21.64
2024-06-24,23.22
2024-06-25,22.56
2024-06-26,23.0
2024-06-27,23.61
2024-06-28,23.59
2024-07-01,22.9
2024-07-02,22.97
2024-07-03,23.07
2024-07-05,23.2
2024-07-08,23.22
2024-07-09,24.24
2024-07-10,24.82
2024-07-11,26.92
2024-07-12,27.11
2024-07-15,29.96
2024-07-16,31.96
2024-07-17,30.91
2024-07-18,28.41
2024-07-19,27.79
2024-07-22,27.65
2024-07-23,27.63
2024-07-24,25.02
2024-07-25,25.76
2024-07-26,26.11
2024-07-29,26.05
2024-07-30,26.03
2024-07-31,27.93
2024-08-01,25.4
2024-08-02,23.76
2024-08-05,23.82
2024-08-06,23.87
2024-08-07,33.3
2024-08-08,34.21
2024-08-09,36.25
2024-08-12,34.18
2024-08-13,37.83
2024-08-14,36.08
2024-08-15,36.59
2024-08-16,36.81
2024-08-19,40.47
2024-08-20,38.38
2024-08-21,40.64
2024-08-22,39.71
2024-08-23,42.0
2024-08-26,43.15
2024-08-27,44.11
2024-08-28,42.08
2024-08-29,42.8
2024-08-30,42.5
2024-09-03,38.26
