Date,V
2023-09-05,243.42
2023-09-06,244.24
2023-09-07,245.21
2023-09-08,245.36
2023-09-11,245.29
2023-09-12,245.37
2023-09-13,245.89
2023-09-14,239.61
2023-09-15,239.19
2023-09-18,242.75
2023-09-19,241.66
2023-09-20,239.97
2023-09-21,234.76
2023-09-22,233.24
2023-09-25,231.54
2023-09-26,227.86
2023-09-27,227.71
2023-09-28,229.85
2023-09-29,228.21
2023-10-02,229.46
2023-10-03,227.02
2023-10-04,229.41
2023-10-05,231.66
2023-10-06,233.2
2023-10-09,232.61
2023-10-10,234.75
2023-10-11,233.84
2023-10-12,234.93
2023-10-13,235.81
2023-10-16,238.19
2023-10-17,239.32
2023-10-18,235.62
2023-10-19,231.98
2023-10-20,231.56
2023-10-23,229.72
2023-10-24,232.82
2023-10-25,235.0
2023-10-26,229.47
2023-10-27,227.48
2023-10-30,231.26
2023-10-31,233.26
2023-11-01,236.72
2023-11-02,241.35
2023-11-03,241.7
2023-11-06,241.59
2023-11-07,242.86
2023-11-08,242.52
2023-11-09,240.26
2023-11-10,243.85
2023-11-13,243.28
2023-11-14,245.53
2023-11-15,246.7
2023-11-16,247.15
2023-11-17,248.14
2023-11-20,248.55
2023-11-21,250.79
2023-11-22,252.27
2023-11-24,252.85
2023-11-27,252.69
2023-11-28,251.5
2023-11-29,252.78
2023-11-30,255.22
2023-12-01,254.99
2023-12-04,252.99
2023-12-05,253.16
2023-12-06,252.84
2023-12-07,254.36
2023-12-08,254.28
2023-12-11,255.06
2023-12-12,258.08
2023-12-13,260.88
2023-12-14,257.26
2023-12-15,256.56
2023-12-18,256.9
2023-12-19,258.51
2023-12-20,255.64
2023-12-21,258.06
2023-12-22,256.96
2023-12-26,257.68
2023-12-27,257.45
2023-12-28,258.92
2023-12-29,258.87
2024-01-02,257.39
2024-01-03,256.51
2024-01-04,258.13
2024-01-05,258.21
2024-01-08,261.04
2024-01-09,261.83
2024-01-10,263.05
2024-01-11,262.53
2024-01-12,262.66
2024-01-16,263.73
2024-01-17,265.11
2024-01-18,266.61
2024-01-19,269.36
2024-01-22,269.65
2024-01-23,269.71
2024-01-24,270.1
2024-01-25,271.06
2024-01-26,266.41
2024-01-29,272.1
2024-01-30,275.57
2024-01-31,271.7
2024-02-01,275.47
2024-02-02,275.6
2024-02-05,274.01
2024-02-06,275.18
2024-02-07,277.8
2024-02-08,274.72
2024-02-09,275.37
2024-02-12,274.01
2024-02-13,274.75
2024-02-14,276.49
2024-02-15,279.9
2024-02-16,277.49
2024-02-20,274.09
2024-02-21,275.7
2024-02-22,282.66
2024-02-23,282.51
2024-02-26,283.06
2024-02-27,282.08
2024-02-28,284.53
2024-02-29,281.55
2024-03-01,282.07
2024-03-04,279.45
2024-03-05,278.31
2024-03-06,279.35
2024-03-07,277.19
2024-03-08,278.96
2024-03-11,279.48
2024-03-12,282.83
2024-03-13,284.04
2024-03-14,285.31
2024-03-15,281.95
2024-03-18,283.95
2024-03-19,286.25
2024-03-20,288.17
2024-03-21,289.25
2024-03-22,282.17
2024-03-25,280.13
2024-03-26,279.52
2024-03-27,277.95
2024-03-28,278.01
2024-04-01,277.21
2024-04-02,277.37
2024-04-03,275.9
2024-04-04,272.95
2024-04-05,276.07
2024-04-08,276.69
2024-04-09,275.66
2024-04-10,273.42
2024-04-11,274.62
2024-04-12,274.9
2024-04-15,270.24
2024-04-16,270.31
2024-04-17,271.64
2024-04-18,270.33
2024-04-19,268.74
2024-04-22,271.28
2024-04-23,273.06
2024-04-24,273.96
2024-04-25,274.1
2024-04-26,273.46
2024-04-29,270.79
2024-04-30,267.58
2024-05-01,266.29
2024-05-02,266.58
2024-05-03,267.46
2024-05-06,271.62
2024-05-07,275.4
2024-05-08,276.12
2024-05-09,277.47
2024-05-10,279.66
2024-05-13,278.32
2024-05-14,276.67
2024-05-15,280.42
2024-05-16,279.28
2024-05-17,279.54
2024-05-20,277.98
2024-05-21,275.4
2024-05-22,275.03
2024-05-23,273.68
2024-05-24,273.94
2024-05-28,270.44
2024-05-29,268.32
2024-05-30,270.76
2024-05-31,271.91
2024-06-03,269.84
2024-06-04,271.87
2024-06-05,273.95
2024-06-06,276.49
2024-06-07,278.11
2024-06-10,274.49
2024-06-11,274.12
2024-06-12,269.78
2024-06-13,270.65
2024-06-14,270.12
2024-06-17,270.63
2024-06-18,273.07
2024-06-20,276.27
2024-06-21,274.67
2024-06-24,275.75
2024-06-25,272.98
2024-06-26,273.05
2024-06-27,266.06
2024-06-28,261.94
2024-07-01,262.71
2024-07-02,267.69
2024-07-03,268.45
2024-07-05,269.82
2024-07-08,265.87
2024-07-09,264.91
2024-07-10,262.47
2024-07-11,262.02
2024-07-12,265.21
2024-07-15,267.91
2024-07-16,268.71
2024-07-17,272.15
2024-07-18,268.61
2024-07-19,264.93
2024-07-22,267.17
2024-07-23,264.26
2024-07-24,253.66
2024-07-25,253.23
2024-07-26,258.94
2024-07-29,261.08
2024-07-30,262.57
2024-07-31,265.14
2024-08-01,265.4
2024-08-02,266.05
2024-08-05,255.93
2024-08-06,257.74
2024-08-07,256.01
2024-08-08,259.31
2024-08-09,259.76
2024-08-12,259.89
2024-08-13,260.13
2024-08-14,261.14
2024-08-15,266.8
2024-08-16,267.38
2024-08-19,266.47
2024-08-20,268.04
2024-08-21,268.2
2024-08-22,267.94
2024-08-23,267.44
2024-08-26,268.21
2024-08-27,270.72
2024-08-28,269.19
2024-08-29,274.32
2024-08-30,276.37
2024-09-03,278.54
