Date,VOO
2023-09-05,406.88
2023-09-06,404.07
2023-09-07,402.87
2023-09-08,403.42
2023-09-11,406.07
2023-09-12,403.9
2023-09-13,404.37
2023-09-14,407.87
2023-09-15,402.78
2023-09-18,403.23
2023-09-19,402.42
2023-09-20,398.65
2023-09-21,392.12
2023-09-22,391.17
2023-09-25,392.8
2023-09-26,387.03
2023-09-27,387.12
2023-09-28,389.38
2023-09-29,388.45
2023-10-02,388.42
2023-10-03,383.2
2023-10-04,386.02
2023-10-05,385.69
2023-10-06,390.29
2023-10-09,392.89
2023-10-10,394.92
2023-10-11,396.59
2023-10-12,394.21
2023-10-13,392.13
2023-10-16,396.24
2023-10-17,396.25
2023-10-18,390.94
2023-10-19,387.63
2023-10-20,382.8
2023-10-23,382.13
2023-10-24,384.99
2023-10-25,379.56
2023-10-26,374.9
2023-10-27,373.24
2023-10-30,377.73
2023-10-31,380.01
2023-11-01,384.2
2023-11-02,391.5
2023-11-03,395.12
2023-11-06,395.88
2023-11-07,397.0
2023-11-08,397.33
2023-11-09,394.33
2023-11-10,400.48
2023-11-13,400.07
2023-11-14,407.76
2023-11-15,408.65
2023-11-16,409.22
2023-11-17,409.83
2023-11-20,412.91
2023-11-21,411.84
2023-11-22,413.62
2023-11-24,413.84
2023-11-27,413.12
2023-11-28,413.53
2023-11-29,413.26
2023-11-30,414.86
2023-12-01,417.3
2023-12-04,415.2
2023-12-05,415.07
2023-12-06,413.34
2023-12-07,416.57
2023-12-08,418.35
2023-12-11,419.97
2023-12-12,422.05
2023-12-13,427.8
2023-12-14,429.06
2023-12-15,428.41
2023-12-18,430.83
2023-12-19,433.45
2023-12-20,427.19
2023-12-21,431.36
2023-12-22,432.36
2023-12-26,434.16
2023-12-27,434.95
2023-12-28,435.02
2023-12-29,433.86
2024-01-02,431.09
2024-01-03,427.89
2024-01-04,426.54
2024-01-05,427.08
2024-01-08,433.19
2024-01-09,432.14
2024-01-10,434.99
2024-01-11,434.84
2024-01-12,435.04
2024-01-16,433.56
2024-01-17,431.15
2024-01-18,434.98
2024-01-19,440.3
2024-01-22,441.31
2024-01-23,442.62
2024-01-24,442.99
2024-01-25,445.48
2024-01-26,445.21
2024-01-29,448.45
2024-01-30,448.13
2024-01-31,440.83
2024-02-01,446.63
2024-02-02,451.22
2024-02-05,449.57
2024-02-06,450.97
2024-02-07,454.68
2024-02-08,454.98
2024-02-09,457.57
2024-02-12,457.36
2024-02-13,450.91
2024-02-14,455.2
2024-02-15,458.28
2024-02-16,455.94
2024-02-20,453.44
2024-02-21,453.89
2024-02-22,463.43
2024-02-23,463.64
2024-02-26,461.94
2024-02-27,462.79
2024-02-28,462.08
2024-02-29,463.79
2024-03-01,468.25
2024-03-04,467.7
2024-03-05,463.01
2024-03-06,465.46
2024-03-07,470.07
2024-03-08,467.22
2024-03-11,466.83
2024-03-12,471.83
2024-03-13,471.12
2024-03-14,470.08
2024-03-15,466.84
2024-03-18,469.76
2024-03-19,472.4
2024-03-20,476.52
2024-03-21,478.11
2024-03-22,477.48
2024-03-25,476.25
2024-03-26,474.91
2024-03-27,479.06
2024-03-28,479.0
2024-04-01,478.37
2024-04-02,475.24
2024-04-03,475.67
2024-04-04,469.81
2024-04-05,474.8
2024-04-08,474.99
2024-04-09,475.58
2024-04-10,470.98
2024-04-11,474.37
2024-04-12,467.91
2024-04-15,461.97
2024-04-16,461.14
2024-04-17,458.36
2024-04-18,457.32
2024-04-19,453.49
2024-04-22,457.42
2024-04-23,463.19
2024-04-24,462.86
2024-04-25,460.94
2024-04-26,465.56
2024-04-29,467.18
2024-04-30,459.8
2024-05-01,458.3
2024-05-02,462.58
2024-05-03,468.32
2024-05-06,473.04
2024-05-07,473.72
2024-05-08,473.74
2024-05-09,476.46
2024-05-10,477.04
2024-05-13,477.07
2024-05-14,479.34
2024-05-15,485.18
2024-05-16,484.25
2024-05-17,484.97
2024-05-20,485.45
2024-05-21,486.75
2024-05-22,485.34
2024-05-23,481.73
2024-05-24,485.01
2024-05-28,485.4
2024-05-29,481.98
2024-05-30,478.74
2024-05-31,482.9
2024-06-03,483.43
2024-06-04,484.02
2024-06-05,489.81
2024-06-06,489.7
2024-06-07,489.06
2024-06-10,490.67
2024-06-11,491.78
2024-06-12,495.88
2024-06-13,496.81
2024-06-14,497.21
2024-06-17,501.16
2024-06-18,502.49
2024-06-20,501.1
2024-06-21,500.0
2024-06-24,498.66
2024-06-25,500.73
2024-06-26,501.29
2024-06-27,502.07
2024-06-28,500.13
2024-07-01,501.28
2024-07-02,504.53
2024-07-03,506.81
2024-07-05,509.84
2024-07-08,510.33
2024-07-09,510.89
2024-07-10,515.81
2024-07-11,511.39
2024-07-12,514.55
2024-07-15,516.11
2024-07-16,519.04
2024-07-17,511.79
2024-07-18,507.94
2024-07-19,504.55
2024-07-22,509.79
2024-07-23,508.94
2024-07-24,497.29
2024-07-25,494.78
2024-07-26,500.33
2024-07-29,500.7
2024-07-30,498.08
2024-07-31,505.93
2024-08-01,499.03
2024-08-02,489.91
2024-08-05,475.2
2024-08-06,479.94
2024-08-07,476.61
2024-08-08,487.73
2024-08-09,489.82
2024-08-12,490.07
2024-08-13,498.21
2024-08-14,499.8
2024-08-15,508.38
2024-08-16,509.45
2024-08-19,514.35
2024-08-20,513.5
2024-08-21,515.3
2024-08-22,511.13
2024-08-23,516.66
2024-08-26,515.39
2024-08-27,516.08
2024-08-28,513.13
2024-08-29,513.21
2024-08-30,518.04
2024-09-03,507.56
