10.122.242.247 - - [29/Aug/2024 13:44:23] "GET / HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:24] "GET /public/css/banner.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:24] "GET /public/css/spinner.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:24] "GET /public/css/general.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:26] "GET /feed HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:26] "GET /favicon.ico HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:30] "GET /crypto HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:30] "GET /public/css/banner.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:30] "GET /public/css/spinner.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:30] "GET /public/css/general.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:30] "GET /public/css/cryptoResult.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:30] "GET /crypto/bitcoinDataOverview/1 HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:34] "POST /bitcoinDataOverview/1 HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:34] "GET /favicon.ico HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:38] "POST /bitcoinDataOverview/2 HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:44:41] "POST /bitcoinDataOverview/3 HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:45:51] "GET /portfolio HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:45:51] "GET /public/css/banner.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:45:51] "GET /public/css/spinner.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:45:51] "GET /public/css/general.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:45:51] "GET /favicon.ico HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:47:56] "GET /crypto HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:47:56] "GET /public/css/banner.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:47:56] "GET /public/css/spinner.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:47:56] "GET /public/css/general.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:47:56] "GET /public/css/cryptoResult.css HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:47:56] "GET /crypto/bitcoinDataOverview/1 HTTP/1.1"
10.122.242.247 - - [29/Aug/2024 13:47:58] "GET /favicon.ico HTTP/1.1"
